"expression","example_fr","example_en"
"u.t.-","contrefaire | faire un faux","to counterfeit | to forge"
"u.k.-","parler jargon","to use jargon"
"u.m.-","manipuler les émotions","to manipulate emotions"
"u.n.-","se réfugier dans l'anonymat","to take refuge in anonymity"
"u.d.-","manquer de précision","to lack precision"
"u.f.-","fuir ses sensations","to shun one's sensations"
"u.l.-","salir","to soil"
"a.M:M:.-","fragiliser la fonction sociale","to undermine the social function"
"a.s.-","prendre à la lettre","to interpret literally"
"a.b.-","interrompre la transmission","to interrupt transmission"
"a.t.-","imiter | plagier","to imitate | to plagiarize"
"a.k.-","attiser le conflit","to stir up conflict"
"a.m.-","abandonner","to give up"
"a.n.-","corrompre","to corrupt"
"a.d.-","être superficiel","to be superficial"
"a.f.-","aggresser physiquement","to physically assault"
"a.l.-","transgresser","to transgress"
"i.M:M:.-","fragiliser la fonction technique","to undermine the technical function"
"i.s.-","bloquer les interfaces","to block interfaces"
"i.b.-","rompre la communication","to cut off communication"
"i.t.-","briser | fracasser","to break | to smash"
"i.k.-","voler (quelque chose)","to steal"
"i.m.-","utiliser des armes","to use weapons"
"i.n.-","provoquer un accident","to provoke an accident"
"i.d.-","dérégler | détraquer","to break down mechanism | to wreck"
"i.f.-","être malade | être blessé","to be sick | to be injured"
"i.l.-","tomber dans un piège","to be caught in a trap"
"M:O:.O:O:.-","mutation générative","generative mutation"
"j.O:O:.-","changement de langage génératif","generative language change"
"g.O:O:.-","changement de message génératif","generative message change"
"h.O:O:.-","changement de sens génératif","generative meaning change"
"c.O:O:.-","changement personnel génératif","generative personal change"
"x.O:O:.-","changement matériel génératif","generative material change"
"M:O:.wo.-","mutation de l'univers des possibles","mutation of the universe of possibilities"
"j.wo.-","tournant de la réflexion","reflection turning point"
"g.wo.-","initiation | nouveau nom","initiation | new name"
"h.wo.-","conversion","conversion"
"c.wo.-","maturation personnelle","personal maturation"
"x.wo.-","hasard transformateur","transformative chance"
"M:O:.wa.-","mutation de l'action","action mutation"
"j.wa.-","changement de justifications","change of justifications"
"g.wa.-","rétroaction","feedback"
"h.wa.-","retournement de situation","situation reversal"
"c.wa.-","changement d'alliance","alliance shift"
"x.wa.-","nouveau véhicule | nouvel outil","new vehicle | new tool"
"M:O:.wu.-","mutation de la perception","perception mutation"
"j.wu.-","nouvelle grille de perception","new perception grid"
"g.wu.-","gestalt switch","gestalt switch"
"h.wu.-","découverte existentielle","existential discovery"
"c.wu.-","transformation corporelle","bodily transformation"
"x.wu.-","nouvel instrument d'observation","new instrument of observation"
"M:O:.we.-","mutation de la reconstitution","reconstitution mutation"
"j.we.-","adaptation culturelle | transfert culturel","cultural adaptation | cultural transfer"
"g.we.-","variation du contexte","context variation"
"h.we.-","recadrage de la situation","situation reframing"
"c.we.-","événement familial","family event"
"x.we.-","mutation de l'environnement naturel","mutation of natural environment"
"M:O:.O:M:.-","condition de l'activité","condition of activity"
"M:O:.U:M:.-","condition de l'activité virtuelle","condition of virtual activity"
"M:O:.A:M:.-","condition de l'activité actuelle","condition of actual activity"
"M:O:.y.-","condition du savoir","condition of knowledge"
"M:O:.o.-","condition du vouloir","condition of will"
"M:O:.e.-","condition du pouvoir","condition of power"
"M:O:.u.-","condition de l'énonciation","condition of enunciation"
"M:O:.a.-","condition de l'intégration sociale","condition of social integration"
"M:O:.i.-","condition de l'efficacité","condition of efficiency"
"S:O:.O:M:.-","condition de l'activité dans le signe","condition of activity in sign"
"j.O:M:.-","processus linguistique actualisant (virtuel)","actualizing linguistic process (virtual)"
"j.y.-","formulation d'une hypothèse | formulation d'un cadre conceptuel","formulation of a hypothesis | formulation of a conceptual framework"
"j.o.-","dévoilement de l'inconscient","unveiling of the unconscious"
"j.e.-","reconnaissance du pouvoir","power recognition"
"j.u.-","invention d'idées | génération d'idées","invention of ideas | generation of ideas"
"j.a.-","apprentissage du langage du groupe","learning of the community's language"
"j.i.-","développement de la pensée stratégique","strategic thinking development"
"g.O:M:.-","processus expressif actualisant (actuel)","actualizing expressive process (actual)"
"g.y.-","recueil des données | catégorisation des données","gathering of data | categorization of data"
"g.o.-","assimilation de l'inconscient par l'égo","assimilation of the unconscious by the ego"
"g.e.-","expression du pouvoir (ordre | décret)","expression of power (order | decree)"
"g.u.-","organisation des idées","organization of ideas"
"g.a.-","participation à la conversation du groupe","participation to the community's conversation"
"g.i.-","perfectionnement de la mobilité tactique","tactical mobility improvement"
"B:O:.O:M:.-","condition de l'activité dans l'être","condition of activity in being"
"h.O:M:.-","processus sémantique actualisant (virtuel)","actualizing semantic process (virtual)"
"h.y.-","fréquentation d'une institution d'apprentissage | fréquentation d'une école","attendance to a learning institution | attendance to school"
"h.o.-","acceptation de la pulsion | libération","acceptance of impulse | liberation"
"h.e.-","conquête de la légitimité","conquest of legitimacy"
"h.u.-","clarification du sens du message","clarifying the meaning of the message"
"h.a.-","adhésion aux valeurs du groupe","adherence to the values of the community"
"h.i.-","interprétation des faits pertinente","relevant interpretation of facts"
"c.O:M:.-","processus personnel actualisant (actuel)","actualizing personal process (actual)"
"c.y.-","obtention d'un diplôme | obtention de crédit de compétence","obtaining a diploma | obtaining credit for competency"
"c.o.-","acceptation de l'interdit | renoncement","acceptance of prohibition | renunciation"
"c.e.-","prise du pouvoir","seizure of power"
"c.u.-","établissement de relations entre interlocuteurs","establishment of relations between interlocutors"
"c.a.-","identification personnelle au groupe","personal identification to the community"
"c.i.-","comportement adapté","fit behavior"
"T:O:.O:M:.-","condition de l'activité dans la chose","condition of activity in thing"
"p.O:M:.-","processus référentiel actualisant (virtuel)","actualizing referential process (virtual)"
"p.y.-","contemplation de l'objet de connaissance","contemplation of the knowledge object"
"p.o.-","contemplation de l'objet de désir","contemplation of the object of desire"
"p.e.-","familiarisation avec le domaine de compétence","familiarization with the domain of competence"
"p.u.-","prise en considération du contexte","taking into account of the context"
"p.a.-","contemplation du groupe d'appartenance","contemplation of the community"
"p.i.-","modélisation | répétition","modeling | rehearsal"
"x.O:M:.-","processus matériel actualisant (actuel)","actualizing material process (actual)"
"x.y.-","expérience | expérimentation","experience | experimentation"
"x.o.-","jouissance","enjoyment"
"x.e.-","exercice du pouvoir","exercise of power"
"x.u.-","publication | élocution","publication | delivery"
"x.a.-","coexistence | fréquentation d'autrui","coexistence | doing things with others"
"x.i.-","fabrication | exécution","manufacturing | execution"
"M:O:.M:O:.-","transformation","transformation"
"M:O:.g.-","transformation dans l'expression","transformation in expression"
"M:O:.h.-","transformation dans la volonté","transformation in will"
"M:O:.c.-","transformation dans le rapport social","transformation in the social relationship"
"M:O:.p.-","transformation dans la capacité","transformation in ability"
"M:O:.x.-","transformation dans le concret","transformation in concrete things"
"j.j.-","mutation intellectuelle","intellectual mutation"
"j.g.-","nouvelle question","new question"
"j.h.-","changement de priorité","priority change"
"j.c.-","transformation de l'apprentissage","learning transformation"
"g.M:O:.-","transformation sur base expressive","transformation on expressive basis"
"g.j.-","nouvelle réponse","new response"
"g.g.-","mutation du discours","discourse mutation"
"g.h.-","changement d'idées","change of ideas"
"h.M:O:.-","transformation sur base de volonté","transformation on will basis"
"h.j.-","nouveau choix","new choice"
"h.g.-","nouvelle forme de communication","new communication form"
"h.h.-","mutation éthique","ethical mutation"
"c.M:O:.-","transformation sur base sociale","transformation on social basis"
"c.j.-","transformation de l'enseignement","teaching transformation"
"c.c.-","mutation du lien social","social bond mutation"
"p.M:O:.-","transformation sur base de capacités","transformation on ability basis"
"p.j.-","nouvelle synthèse","new synthesis"
"p.p.-","mutation des forces en jeu","mutation of forces in play"
"p.x.-","échange","exchange"
"x.M:O:.-","transformation sur base concrète","transformation on concrete basis"
"x.j.-","évolution de la computation","computation evolution"
"x.g.-","transformation de la dette","debt transformation"
"x.p.-","partage","sharing"
"x.x.-","mutation de la production","production mutation"
"j.p.-","nouvelle analyse","new analysis"
"j.x.-","évolution du formalisme","formalism evolution"
"g.c.-","renouvellement d'un vœu | renouvellement d'une promesse","vow renewal | promise renewal"
"g.p.-","nouvelle délibération","new deliberation"
"g.x.-","transformation du crédit","credit transformation"
"h.c.-","changement de direction | changement de management","change of management"
"h.p.-","modification des spécifications","modification of specifications"
"h.x.-","nouvelle candidature","new application | new candidacy"
"c.g.-","renouvellement de la confiance","confidence renewal"
"c.h.-","changement de personnel","change of staff"
"c.p.-","évolution de l'offre","evolution of the offer"
"c.x.-","changement de propriétaire","change of owner"
"p.g.-","nouveau jugement","new judgement"
"p.h.-","nouvelle conception | nouveau plan","new conception | new plan"
"p.c.-","évolution de la demande","evolution of the demand"
"x.h.-","nouvelle obtention","new obtention"
"x.c.-","nouvelle acquisition","new acquisition"
"M:O:.M:M:.-","obstacle","obstacle"
"M:O:.s.-","obstacle initial","initial obstacle"
"M:O:.b.-","obstacle dans le langage","obstacle in language"
"M:O:.t.-","obstacle dans le temps","obstacle in time"
"M:O:.k.-","obstacle dans le défaut de communauté","obstacle in community deficency"
"M:O:.m.-","obstacle affectif | obstacle éthique","affective obstacle | ethical obstacle"
"M:O:.n.-","obstacle dans le défaut de vitalité","obstacle in vitality deficiency"
"M:O:.d.-","obstacle dans le défaut de vérité | obstacle dans le défaut de rigueur","obstacle in truth deficiency | obstacle in rigor imperfection"
"M:O:.f.-","obstacle face aux personnes","obstacle related to people"
"M:O:.l.-","obstacle dans l'espace","obstacle in space"
"j.M:M:.-","obstacle poétique","poetic obstacle"
"j.s.-","lapsus | défaut d'articulation","slip of tongue | articulation deficiency"
"j.b.-","redondance","redundancy"
"j.t.-","archaïsme","archaism"
"j.k.-","erreur de syntaxe | impropriété lexicale","syntactic mistake | lexical inappropriateness"
"j.m.-","banalité | expression non-sentie","banality | unfelt expression"
"j.n.-","cliché | platitude","cliché | platitude"
"j.d.-","langue de bois | imitation | psittacisme","double talk | mimicry | parroting"
"j.f.-","absence de sensibilité esthétique","lack of aesthetic sensibility"
"j.l.-","absence de réponse | absence d'écho","absence of response | absence of echo"
"g.M:M:.-","obstacle communicationnel","obstacle related to communication"
"g.s.-","bruit","noise"
"g.b.-","erreur de transmission","transmission error"
"g.t.-","incongruité | propos inopportun","inappropriate expression | untimely expression"
"g.k.-","désaffection du public | désaffection du médium","lack of interest from the public | lack of interest for the medium"
"g.m.-","médisance | mépris","malicious gossip | contempt"
"g.n.-","inertie des mentalités","inertia of mindsets"
"g.d.-","erreur de calcul","calculation mistake"
"g.f.-","censure | trahison du message","censorship | message betrayal"
"g.l.-","fermeture intellectuelle | rigidité intellectuelle","intellectual closedness | intellectual rigidity"
"h.M:M:.-","obstacle spirituel","spiritual obstacle"
"h.s.-","confusion","confusion"
"h.b.-","langage manipulateur | manipulation","manipulative language | manipulation"
"h.t.-","oubli","forgetfullness"
"h.k.-","trahison de l'esprit | trahison de la tradition","betrayal of the spirit | betrayal of tradition"
"h.m.-","incohérence entre les paroles et les actes","inconsistency between speech and act"
"h.n.-","opportunisme","opportunism"
"h.d.-","grossièreté culturelle | pauvreté culturelle","cultural coarseness | cultural poorness"
"h.f.-","rupture","break-up"
"h.l.-","intégrisme | xénophobie","fundamentalism | xenophobia"
"c.M:M:.-","obstacle sociopolitique","socio-political obstacle"
"c.s.-","fanatisme | ultraconservatisme","fanaticism | ultraconservatism"
"c.b.-","langage d'exclusion ou de haine | discrimination basée sur des préjugés","language of exclusion or hate | discrimination based on prejudice"
"c.t.-","obsolescence","obsolescence"
"c.k.-","sclérose du lien","sclerosis of the bond"
"c.m.-","harcèlement | persécution","harrassment | persecution"
"c.n.-","stagnation politique","political stagnation"
"c.d.-","hypocrisie | tromperie","hypocrisy | deception"
"c.f.-","échec personnel | défaite personnelle","personal failure | personal defeat"
"c.l.-","exil","exile"
"p.M:M:.-","obstacle économique","economic obstacle"
"p.s.-","manque de moyens | situation de besoin | pauvreté","lack of means | situation of need | poverty"
"p.b.-","mauvaise réputation | rejet par les consommateurs","bad reputation | rejection from the consumers"
"p.t.-","gaspillage | perte de capital | érosion du capital","waste | loss of capital | erosion of capital"
"p.k.-","fermeture d'entreprise | rupture de contrat | faillite","company closing down | breach of contract | bankruptcy"
"p.m.-","exploitation","exploitation"
"p.n.-","absence d'initiative économique","lack of economic initiative"
"p.d.-","absence de formation et d'information économique","lack of economic information and training"
"p.f.-","vol | concurrence déloyale","theft | unfair competition"
"p.l.-","illusion d'autosuffisance","illusion of self-sufficiency"
"x.M:M:.-","obstacle technique","technical obstacle"
"x.s.-","défaut de conception","design flaw"
"x.b.-","isolement | absence de langage commun | absence de moyens de communication","isolation | lack of common language | lack of communication tools"
"x.t.-","défaut de coordination | défaut de gestion des ressources","deficiency in coordination | deficiency in resources management"
"x.k.-","manque de ressources humaines","lack of human resources"
"x.m.-","conflit de travail | conflits au travail","labour dispute | conflicts at work"
"x.n.-","obsolescence | désuétude | usure","obsolescence | wear"
"x.d.-","défaut d'exécution","execution flaw"
"x.f.-","panne non réparée | inefficacité","non repaired breakdown | inefficiency"
"x.l.-","expulsion d'un logement | destruction d'habitat","expulsion from housing | habitat destruction"
"M:M:.O:O:.-","ressources du sens","resources of meaning"
"s.O:O:.-","sources du sens dans la pensée","sources of meaning in thought"
"b.O:O:.-","sources du sens dans la communication","sources of meaning in communication"
"t.O:O:.-","sources du sens dans la mémoire","sources of meaning in memory"
"k.O:O:.-","sources du sens dans la communauté","sources of meaning in community"
"m.O:O:.-","sources du sens dans le rapport affectif","sources of meaning in affective relation"
"n.O:O:.-","sources du sens dans le rapport au cosmos","sources of meaning in the relation to the cosmos"
"d.O:O:.-","sources du sens dans la rigueur","sources of meaning in rigor"
"f.O:O:.-","sources du sens dans le corps","sources of meaning in the body"
"l.O:O:.-","sources du sens dans la liberté | sources du sens dans la responsabilité","sources of meaning in liberty | sources of meaning in responsibility"
"s.wo.-","stratégie","strategy"
"b.wo.-","échange intellectuel","intellectual exchange"
"t.wo.-","mise en relation","bringing together"
"k.wo.-","école de pensée","school of thought"
"m.wo.-","appel de l'inconnu","appeal of the unknown"
"n.wo.-","exercice spirituel","spiritual exercise"
"d.wo.-","contrainte intellectuelle","intellectual constraint"
"f.wo.-","exercice intellectuel","intellectual gymnastics"
"l.wo.-","liberté de pensée","freedom of thought"
"s.wa.-","tactique","tactic"
"b.wa.-","négociation | coordination","negotiation | coordination"
"t.wa.-","hasard | événements inattendus","chance | unexpected events"
"k.wa.-","communauté d'action","community of action"
"m.wa.-","audace","audacity"
"n.wa.-","sagesse pratique | prudence","practical wisdom | prudence"
"d.wa.-","contrainte éthique","ethical constraint"
"f.wa.-","activité physique","physical activity"
"l.wa.-","liberté de circulation","freedom of movement"
"s.wu.-","analyse des perceptions","analysis of perceptions"
"b.wu.-","rencontre esthétique","aesthetic encounter"
"t.wu.-","fil conducteur","connecting thread"
"k.wu.-","communauté de goût","community of taste"
"m.wu.-","goût de vivre","taste for life"
"n.wu.-","imagination créatrice","creative imagination"
"d.wu.-","contrainte esthétique","aesthetic constraint"
"f.wu.-","éclat des perceptions","brilliance of perceptions"
"l.wu.-","liberté d'expression","freedom of expression"
"s.we.-","souci de l'environnemt","concern for the environment"
"b.we.-","climat médiatique","media climate"
"t.we.-","régularité","regularity"
"k.we.-","communauté de résidence","residential community"
"m.we.-","acceptation des contraintes","acceptance of constraints"
"n.we.-","racines culturelles","cultural roots"
"d.we.-","contrainte technique","technical constraint"
"f.we.-","loisir | divertissement | récréation","leisure | entertainment | recreation"
"l.we.-","responsabilité économique","economic responsibility"
"M:M:.O:M:.-","base du développement humain","basis of human development"
"S:M:.O:M:.-","base de signe pour le développement humain","basis of sign for human development"
"B:M:.O:M:.-","base d'être pour le développement humain","basis of being for human development"
"T:M:.O:M:.-","base de chose pour le développement humain","basis of thing for human development"
"s.O:M:.-","pensée actualisée","thought actualized"
"M:M:.y.-","intelligence","intelligence"
"s.y.-","connaissance organisée","organized knowledge"
"b.y.-","intelligence formelle","formal intelligence"
"t.y.-","gestion de la mémoire","memory management"
"k.y.-","intelligence relationnelle","relational intelligence"
"m.y.-","intelligence émotionnelle","emotional intelligence"
"n.y.-","connaissance des principes","knowledge of principles"
"d.y.-","connaissance factuelle","knowledge of facts"
"f.y.-","intelligence du corps","body intelligence"
"l.y.-","conscience des limites","awareness of limits"
"M:M:.o.-","valeur","value"
"s.o.-","souci de la pensée","concern for thought"
"b.o.-","goût du langage","taste for language"
"t.o.-","moment opportun","right time"
"k.o.-","désir de lien social","desire for social bond"
"m.o.-","implication émotionnelle","emotional involvement"
"n.o.-","volonté de cosmos","will for cosmos"
"d.o.-","valeur de vérité","truth value"
"f.o.-","corps vivant | être sensible","living body | sentient being"
"l.o.-","organisation de l'espace","space organization"
"M:M:.e.-","habileté","ability"
"s.e.-","maîtrise des codes (grammaire)","mastery of codes (grammar)"
"b.e.-","capacité de raisonner (dialectique)","reasoning ability (dialectic)"
"t.e.-","capacité de convaincre (rhétorique)","ability to convince (rhetoric)"
"k.e.-","maîtrise de soi (grammaire)","self-control (grammar)"
"m.e.-","capacité de négocier (dialectique)","negotiation ability (dialectic)"
"n.e.-","capacité de diriger (rhétorique)","leadership (rhetoric)"
"d.e.-","savoir-faire technique (grammaire)","technical know how (grammar)"
"f.e.-","habileté sensorimotrice (dialectique)","sensor-motor ability (dialectic)"
"l.e.-","compétence en ingénierie (rhétorique)","engineering competence (rhetoric)"
"M:M:.u.-","fonction sémiotique","semiotic function"
"s.u.-","image","image"
"b.u.-","parole","speech"
"t.u.-","marque","mark"
"k.u.-","symbole","symbol"
"m.u.-","symptôme","symptom"
"n.u.-","nom","name"
"d.u.-","pointeur","pointer"
"f.u.-","sensation","sensation"
"l.u.-","trace","trace"
"M:M:.a.-","fonction sociale","social function"
"s.a.-","interprète","interpreter"
"b.a.-","conteur","storyteller"
"t.a.-","scribe","scribe"
"k.a.-","chef","chief"
"m.a.-","parent","parent"
"n.a.-","juge","judge"
"d.a.-","chercheur","researcher"
"f.a.-","guérisseur","healer"
"l.a.-","gardien","guardian"
"M:M:.i.-","fonction technique","technical function"
"s.i.-","interface","interface"
"b.i.-","medium","medium"
"t.i.-","contenant","container"
"k.i.-","don","gift"
"m.i.-","jouet","toy"
"n.i.-","feu | technique de transformation","fire | transformation technique"
"d.i.-","instrument de mesure","measuring instrument"
"f.i.-","organe","organ"
"l.i.-","noeud | technique de connection","knot | connection technique"
"M:M:.M:O:.-","cycle de création-innovation","creation-innovation cycle"
"s.M:O:.-","projet de cycle de création-innovation","creation-innovation cycle project"
"b.M:O:.-","contrainte de communication d'un cycle de création-innovation","communication constraints of a creation-innovation cycle"
"t.M:O:.-","inscription dans le temps d'un cycle de création-innovation","inscription in time of a creation-innovation cycle"
"k.M:O:.-","dimension sociale d'un cycle de création-innovation","social dimension of a creation-innovation cycle"
"m.M:O:.-","réverbération affective & éthique d'un cycle de création-innovation","affective & ethical reverberations of a creation-innovation cycle"
"n.M:O:.-","transformation durable résultant d'un cycle de création-innovation","sustainable transformations resulting from a creation-innovation cycle"
"d.M:O:.-","vérité d'un cycle de création-innovation | exactitude & rigueur d'un cycle de création-innovation","truth of a creation-innovation cycle | exactness & rigor of a creation-innovation cycle"
"f.M:O:.-","connexion personelle d'un cycle de création-innovation","personal connection of a creation-innovation cycle"
"l.M:O:.-","manifestation dans l'espace d'un cycle de création-innovation","manifestation in space of a creation-innovation cycle"
"M:M:.j.-","cycle de création-innovation poétique","poetic creation-innovation cycle"
"s.j.-","projet poétique | dimension poétique d'un projet de création-innovation","poetic project | poetic dimension of a creation-innovation project"
"b.j.-","innovation sémiotique","semiotic innovation"
"t.j.-","référence artistique | tradition artistique","artistic reference | artistic tradition"
"k.j.-","communauté de langage re-créée","re-created language community"
"m.j.-","expression | réveil poétique des émotions","expression | poetic awakening of emotion"
"n.j.-","transformation durable du langage","sustainable transformation of language"
"d.j.-","originalité | expression distincte","originality | distinct expression"
"f.j.-","vibration esthétique entre personnes | connexion esthétique entre personnes","aesthetic vibration between people | aesthetic connection between people"
"l.j.-","réseau d'influence d'une œuvre artistique | réseau d'influence d'une œuvre poétique","influence network of an artistic work | influence network of a poetic work"
"M:M:.g.-","cycle de création-innovation en communication","communication creation-innovation cycle"
"s.g.-","projet de communication | dimension de communication d'un projet de création-innovation","communication project | communication dimension of a creation-innovation project"
"b.g.-","contenu du message | substance du message","content of the message | substance of the message"
"t.g.-","thème traditionnel | thème récurrent","traditional theme | recurring theme"
"k.g.-","public re-créé | communauté de média re-créée","re-created public | re-created media community"
"m.g.-","empathie avec le public","empathy with the public"
"n.g.-","changement de comportement du public","change of public behavior"
"d.g.-","qualité des documents | qualité des messages","quality of documents | quality of messages"
"f.g.-","porte-parole fidèle | représentant fidèle","faithful spokesman | faithful representative"
"l.g.-","graphe de diffusion du message","message diffusion graph"
"M:M:.h.-","cycle de création-innovation culturel","cultural creation-innovation cycle"
"s.h.-","projet culturel | dimension culturelle d'un projet de création-innovation","cultural project | cultural dimension of a creation-innovation project"
"b.h.-","réinterprétation du contexte","context reinterpretation"
"t.h.-","héritage spirituel","spiritual heritage"
"k.h.-","communauté d'esprit re-créée","re-created community of spirit"
"m.h.-","cohérence entre actes et paroles","coherence between speech and action"
"n.h.-","acculturation","acculturation"
"d.h.-","raffinement culturel","cultural refinement"
"f.h.-","rencontre fructueuse","fruitful encounter"
"l.h.-","migration | mixage culturel","migration | cultural mixing"
"M:M:.c.-","cycle de création-innovation politique","political creation-innovation cycle"
"s.c.-","projet politique | dimension politique d'un projet de création-innovation","political project | political dimension of a creation-innovation project"
"b.c.-","capacité de rassemblement","ability to gather people"
"t.c.-","legs politique | tradition politique","political legacy | political tradition"
"k.c.-","lien social renouvelé","renewed social bond"
"m.c.-","respect des personnes","respect of people"
"n.c.-","évolution politique","political evolution"
"d.c.-","authenticité","authenticity"
"f.c.-","élection | nomination | victoire personnelle","election | appointment | personal victory"
"l.c.-","pays | projection territoriale de la création politique","country | territorial projection of political creation"
"M:M:.p.-","cycle de création-innovation économique","economic creation-innovation cycle"
"s.p.-","projet économique | dimension économique d'un projet de création-innovation","economic project | economic dimension of a creation-innovation project"
"b.p.-","conversations des consommateurs sur le produit","consumers' conversations about the product"
"t.p.-","accumulation | gain | bénéfice","accumulation | gain | benefit"
"k.p.-","partenariat économique renouvelé","renewed economic partnership"
"m.p.-","service rendu","rendered service"
"n.p.-","évolution du marché","market evolution"
"d.p.-","intelligence économique","economic intelligence"
"f.p.-","relation commerciale | contact commercial","commercial relationship | commercial contact"
"l.p.-","réseau de compétences","skills network"
"M:M:.x.-","cycle de création-innovation technique","technical creation-innovation cycle"
"s.x.-","projet technique | dimension technique d'un projet de création-innovation","technical project | technical dimension of a creation-innovation project"
"b.x.-","environnement collaboratif","collaborative environment"
"t.x.-","calendrier d'un projet | budget d'un projet","calendar of a project | budget of a project"
"k.x.-","équipe de projet renouvelée","renewed project team"
"m.x.-","atmosphère de collaboration","atmosphere of collaboration"
"n.x.-","transformation de l'univers pratique","transformation of the practical universe"
"d.x.-","procédures techniques rigoureuses | procédés techniques rigoureux","rigorous technical procedures | rigorous technical processes"
"f.x.-","utilisateur satisfait","satisfied user"
"l.x.-","déménagement | aménagement d'espaces","moving | spatial arrangement"
"E:U:.O:O:.-","démonstratif | indice","demonstrative | index"
"E:A:.O:O:.-","possessif","possessive"
"E:S:.O:O:.-","première personne","first person"
"E:B:.O:O:.-","deuxième personne","second person"
"E:T:.O:O:.-","troisième personne","third person"
"E:F:.U:O:.-","nombre indifférent","indifferent number"
"E:F:.wo.-","nombre singulier","singular number"
"E:F:.wa.-","nombre pluriel","plural number"
"E:U:.wo.-","ce | ceci","this | this one"
"E:U:.wa.-","ces | ceux-ci","these"
"E:A:.wo.-","mon | ton | son","my | your | its"
"E:A:.wa.-","nos | vos | leur","our | your | their"
"E:S:.wa.-","nous","us"
"E:F:.A:O:.-","genre neutre","neutral gender"
"E:U:.wu.-","ce (masculin)","this (masculine)"
"E:U:.we.-","cette","this (feminine)"
"E:A:.wu.-","son (masculin)","his | my (masculine) | your (masculine)"
"E:A:.we.-","sa (féminin)","her | my (feminine) | your (feminine)"
"E:S:.wu.-","je (masculin) | moi (masculin) | nous (masculin)","I (masculine) | me (masculine) | us (masculine)"
"E:S:.we.-","je (féminin) | moi (féminin) | nous (féminin)","I (feminine) | me (feminine) | us (feminine)"
"E:B:.wu.-","tu (masculin) | toi (masculin) | vous (masculin)","you (masculine)"
"E:B:.we.-","tu (féminin) | toi (féminin) | vous (féminin)","you (female)"
"E:T:.we.-","elle | elles","her | she | them (feminine)"
"E:F:.O:M:.-","conjugaison","conjugation"
"E:O:.O:M:.-","diathèse | voix grammaticale","diathesis | grammatical voice"
"E:M:.O:M:.-","temps | quand","tense | time | when"
"E:U:.O:M:.-","voix passive","passive voice"
"E:A:.O:M:.-","voix active","active voice"
"E:S:.O:M:.-","temps futur","future tense"
"E:B:.O:M:.-","temps présent","present tense"
"E:T:.O:M:.-","temps passé","past tense"
"E:F:.U:M:.-","mode déclaratif","declarative mood"
"E:F:.y.-","mode indicatif","indicative mood"
"E:U:.y.-","connu","known"
"E:A:.y.-","connaissant","knowing"
"E:S:.y.-","connaîtra","will know"
"E:B:.y.-","connaît (maintenant)","know (now)"
"E:T:.y.-","a connu","has known"
"E:F:.o.-","mode optatif","optative mood"
"E:U:.o.-","voulu","wanted"
"E:A:.o.-","voulant","willing"
"E:S:.o.-","voudra","will want"
"E:B:.o.-","veut (maintenant)","want (now)"
"E:T:.o.-","voulait","would"
"E:F:.e.-","mode abilitatif","abilitative mood"
"E:U:.e.-","capable | habilité","able | enabled"
"E:A:.e.-","capacitant | habilitant","abling | enabling"
"E:S:.e.-","pourra","will be able"
"E:B:.e.-","peut (maintenant)","can (now)"
"E:T:.e.-","pouvait","could"
"E:F:.u.-","mode expressif","expressive mood"
"E:U:.u.-","exprimé","expressed"
"E:A:.u.-","exprimant","expressing"
"E:S:.u.-","exprimera","will express"
"E:B:.u.-","exprime (maintenant)","express (now)"
"E:T:.u.-","a exprimé","has expressed"
"E:U:.a.-","engagé","committed"
"E:A:.a.-","engageant","committing"
"E:S:.a.-","s'engagera","will commit"
"E:B:.a.-","s'engage (maintenant)","commit (now)"
"E:T:.a.-","s'est engagé","has committed"
"E:U:.i.-","doit être fait","be done"
"E:A:.i.-","doit faire","be doing"
"E:S:.i.-","devra faire","will do"
"E:B:.i.-","fait (maintenant)","do (now)"
"E:T:.i.-","a dû faire | devrait faire","should"
"E:O:.M:O:.-","comment | manière (flexion | adverbe | conjonction | préposition | article)","how | manner (inflection | adverb | conjunction | preposition | article)"
"E:O:.S:O:.-","mode de comparaison","manner of comparison"
"E:O:.B:O:.-","mode d'orientation","manner of orientation"
"E:O:.T:O:.-","mode d'existence","manner of existence"
"E:O:.j.-","mode de ressemblance (virtuel)","manner of resemblance (virtual)"
"E:O:.g.-","mode d'identité (actuel)","manner of identity (actual)"
"E:O:.h.-","mode de tropisme (virtuel)","manner of tropism (virtual)"
"E:O:.c.-","mode de choix (actuel)","manner of choice (actual)"
"E:O:.p.-","mode de définition (virtuel)","manner of definition (virtual)"
"E:O:.x.-","mode de présence (actuel)","manner of presence (actual)"
"E:U:.M:O:.-","manière négative","negative manner"
"E:U:.j.-","(par) contraste | mais | pourtant | au contraire","(by) contrast | but | and yet | on the contrary"
"E:U:.g.-","autre | différent","other | different"
"E:U:.h.-","en évitant | en tournant le dos à","avoiding | turning one's back on"
"E:U:.c.-","anti | contre","anti | against"
"E:U:.p.-","indéfini | un | quelque","indefinite | a | some"
"E:U:.x.-","sans","without"
"E:A:.M:O:.-","manière positive","positive manner"
"E:A:.j.-","par analogie (d'une manière semblable)","by analogy (in a similar manner)"
"E:A:.g.-","même | comme","same | like | as"
"E:A:.h.-","en cherchant | vers","seeking | heading towards"
"E:A:.c.-","pro | pour | adhésion","pro | for | support"
