"I:","information in general","information en general"
"g.O:O:.-","generative message change","changement de message g√©n√©ratif"
"h.O:O:.-","generative meaning change","changement de sens g√©n√©ratif"
"c.O:O:.-","generative personal change","changement personnel g√©n√©ratif"
"x.O:O:.-","generative material change","changement mat√©riel g√©n√©ratif"
"M:O:.wo.-","mutation of the universe of possibilities","mutation de líunivers des possibles"
"j.wo.-","reflection turning point","tournant de la r√©flexion"
"g.wo.-","initiation | new name","initiation | nouveau nom"
"h.wo.-","conversion","conversion"
"c.wo.-","personal maturation","maturation personnelle"
"x.wo.-","transformative chance","hasard transformateur"
"M:O:.wa.-","action mutation","mutation de líaction"
"j.wa.-","change of justifications","changement de justifications"
"g.wa.-","feedback","r√©troaction"
"h.wa.-","situation reversal","retournement de situation"
"c.wa.-","alliance / partnership shift","changement díalliance / de partenaire"
"x.wa.-","new vehicle | new tool","nouveau v√©hicule | nouvel outil"
"M:O:.wu.-","perception mutation","mutation de la perception"
"j.wu.-","new perception grid","nouvelle grille de perception"
"g.wu.-","gestalt switch","gestalt switch"
"h.wu.-","existential discovery","d√©couverte existentielle"
"c.wu.-","bodily transformation","transformation corporelle"
"x.wu.-","new instrument of observation","nouvel instrument díobservation"
"M:O:.we.-","reconstitution mutation","mutation de la r√©action"
"j.we.-","cultural adaptation / transfer","adaptation / transfert culturel"
"g.we.-","context variation","variation du contexte"
"h.we.-","situation reframing","recadrage de la situation"
"c.we.-","family event","√©v√©nement familial"
"x.we.-","mutation of natural environment","mutation de líenvironnement naturel"
"M:O:.O:M:.-","condition of activity","condition de líactivit√©"
"M:O:.U:M:.-","condition of virtual activity","condition de líactivit√© virtuelle"
"M:O:.A:M:.-","condition of actual activity","condition de líactivit√© actuelle"
"M:O:.y.-","condition of knowledge","condition du savoir"
"M:O:.o.-","condition of will","condition du vouloir"
"M:O:.e.-","condition of power","condition du pouvoir"
"M:O:.u.-","condition of enunciation","condition de lí√©nonciation"
"M:O:.a.-","condition of social integration","condition de líint√©gration sociale"
"M:O:.i.-","condition of efficiency","condition de líefficacit√©"
"S:O:.O:M:.-","condition of activity in sign","condition de líactivit√© dans le signe"
"j.O:M:.-","actualizing linguistic process (virtual)","processus linguistique actualisant (virtuel)"
"j.y.-","formulation of a hypothesis / a conceptual framework","formulation díune hypoth√®se / díun cadre conceptuel"
"j.o.-","unveiling of the unconscious","d√©voilement de líinconscient"
"j.e.-","power recognition","reconnaissance du pouvoir"
"j.u.-","invention / generation of ideas","invention / g√©n√©ration díid√©es"
"j.a.-","learning of the communityís language","apprentissage du langage du groupe"
"j.i.-","strategic thinking development","d√©veloppement de la pens√©e strat√©gique"
"g.O:M:.-","actualizing expressive process (actual)","processus expressif actualisant (actuel)"
"g.y.-","gathering and categorization of data","recueil et cat√©gorisation des donn√©es"
"g.o.-","assimilation of the unconscious by the ego","assimilation de líinconscient par lí√©go"
"g.e.-","expression of power (order | decree)","expression du pouvoir (ordre | d√©cret)"
"g.u.-","organization of ideas","organisation des id√©es"
"g.a.-","participation to the communityís conversation","participation √† la conversation du groupe"
"g.i.-","tactical mobility improvement","perfectionnement de la mobilit√© tactique"
"B:O:.O:M:.-","condition of activity in being","condition de líactivit√© dans lí√™tre"
"h.O:M:.-","actualizing semantic process (virtual)","processus s√©mantique actualisant (virtuel)"
"h.y.-","attendance to a learning institution / a school","fr√©quentation díune institution díapprentissage | fr√©quentation díune √©cole"
"h.o.-","acceptance of impulse | liberation","acceptation de la pulsion | lib√©ration"
"h.e.-","conquest of legitimacy","conqu√™te de la l√©gitimit√©"
"h.u.-","clarifying the meaning of the message","clarification du sens du message"
"h.a.-","adherence to the values of the community","adh√©sion aux valeurs du groupe"
"h.i.-","relevant interpretation of facts","interpr√©tation des faits pertinents"
"c.O:M:.-","actualizing personal process (actual)","processus personnel actualisant (actuel)"
"c.y.-","obtaining a diploma | obtaining credit for competency","obtention díun dipl√¥me | obtention de cr√©dit de comp√©tence"
"c.o.-","acceptance of prohibition | renunciation","acceptation de líinterdit | renoncement"
"c.e.-","seizure of power","prise du pouvoir"
"c.u.-","establishment of relations between interlocutors","√©tablissement de relations entre interlocuteurs"
"c.a.-","personal identification to the community","identification personnelle au groupe"
"c.i.-","fit behavior","comportement adapt√©"
"T:O:.O:M:.-","condition of activity in thing","condition de líactivit√© dans la chose"
"p.O:M:.-","actualizing referential process (virtual)","processus r√©f√©rentiel actualisant (virtuel)"
"p.y.-","contemplation of the knowledge object","contemplation de líobjet de connaissance"
"p.o.-","contemplation of the object of desire","contemplation de líobjet de d√©sir"
"p.e.-","familiarization with the domain of competence","familiarisation avec le domaine de comp√©tence"
"p.u.-","taking into account of the context","prise en consid√©ration du contexte"
"p.a.-","contemplation of the community","contemplation du groupe díappartenance"
"p.i.-","modeling | rehearsal","mod√©lisation | entra√Ænement"
"x.O:M:.-","actualizing material process (actual)","processus mat√©riel actualisant (actuel)"
"x.y.-","experience | experimentation","exp√©rience | exp√©rimentation"
"x.o.-","enjoyment","jouissance"
"x.e.-","exercise of power","exercice du pouvoir"
"x.u.-","publication | delivery","publication | √©locution"
"x.a.-","coexistence | doing things with others","coexistence | fr√©quentation díautrui"
"x.i.-","manufacturing | execution","fabrication | ex√©cution"
"M:O:.M:O:.-","transformation","transformation"
"M:O:.g.-","transformation in expression","transformation dans líexpression"
"M:O:.h.-","transformation in will","transformation dans la volont√©"
"M:O:.c.-","transformation in the social relationship","transformation dans le rapport social"
"M:O:.p.-","transformation in ability","transformation dans la capacit√©"
"M:O:.x.-","transformation in concrete things","transformation dans le concret"
"j.j.-","intellectual mutation","mutation intellectuelle"
"j.g.-","new question","nouvelle question"
"j.h.-","priority change","changement de priorit√©"
"j.c.-","learning transformation","transformation de líapprentissage"
"g.M:O:.-","transformation on expressive basis","transformation sur base expressive"
"g.j.-","new response","nouvelle r√©ponse"
"g.g.-","discourse mutation","mutation du discours"
"g.h.-","change of ideas","changement díid√©es"
"h.M:O:.-","transformation on will basis","transformation sur base de volont√©"
"h.j.-","new choice","nouveau choix"
"h.g.-","new communication form","nouvelle forme de communication"
"h.h.-","ethical mutation","mutation √©thique"
"c.M:O:.-","transformation on social basis","transformation sur base sociale"
"c.j.-","transformation in teaching","transformation de líenseignement"
"c.c.-","social bond mutation","mutation du lien social"
"p.M:O:.-","transformation on ability basis","transformation sur base de capacit√©s"
"p.j.-","new synthesis","nouvelle synth√®se"
"p.p.-","mutation of forces in play","mutation des forces en jeu"
"p.x.-","exchange","√©change"
"x.M:O:.-","transformation on concrete basis","transformation sur base concr√®te"
"x.j.-","computation evolution","√©volution de la computation"
"x.g.-","debt transformation","transformation de la dette"
"x.p.-","sharing","partage"
"x.x.-","production mutation","mutation de la production"
"j.p.-","new analysis","nouvelle analyse"
"j.x.-","formalism evolution","√©volution du formalisme"
"g.c.-","vow renewal | promise renewal","renouvellement díun v≈ìu / díune promesse"
"g.p.-","new deliberation","nouvelle d√©lib√©ration"
"g.x.-","credit transformation","transformation du cr√©dit"
"h.c.-","change of management","changement de direction | changement de management"
"h.p.-","modification of specifications","modification des sp√©cifications"
"h.x.-","new application | new candidacy","nouvelle candidature"
"c.g.-","confidence renewal","renouvellement de la confiance"
"c.h.-","change of staff","changement de personnel"
"c.p.-","evolution of the offer","√©volution de líoffre"
"c.x.-","change of owner","changement de propri√©taire"
"p.g.-","new judgement","nouveau jugement"
"p.h.-","new conception | new plan","nouvelle conception | nouveau plan"
"p.c.-","evolution of the demand","√©volution de la demande"
"x.h.-","new obtention","nouvelle obtention"
"x.c.-","new acquisition","nouvelle acquisition"
"M:O:.M:M:.-","obstacle","obstacle"
"M:O:.s.-","initial obstacle","obstacle initial"
"M:O:.b.-","obstacle in language","obstacle dans le langage"
"M:O:.t.-","obstacle in time","obstacle dans le temps"
"M:O:.k.-","obstacle in community deficency","obstacle dans le d√©faut de communaut√©"
"M:O:.m.-","affective / ethical obstacle","obstacle affectif / √©thique"
"M:O:.n.-","obstacle in vitality deficiency","obstacle dans le d√©faut de vitalit√©"
"M:O:.d.-","obstacle in truth deficiency | obstacle in rigor imperfection","obstacle dans le d√©faut de v√©rit√© / de rigueur"
"M:O:.f.-","obstacle related to people","obstacle face aux personnes"
"M:O:.l.-","obstacle in space","obstacle dans líespace"
"j.M:M:.-","poetic obstacle","obstacle po√©tique"
"j.s.-","slip of tongue | articulation deficiency","lapsus | d√©faut díarticulation"
"j.b.-","redundancy","redondance"
"j.t.-","archaism","archa√Øsme"
"j.k.-","syntactic mistake | lexical inappropriateness","erreur de syntaxe | impropri√©t√© lexicale"
"j.m.-","banality | unfelt expression","banalit√© | expression non-sentie"
"j.n.-","clich√© | platitude","clich√© | platitude"
"j.d.-","double talk | mimicry | parroting","langue de bois | imitation | psittacisme"
"j.f.-","lack of aesthetic sensibility","absence de sensibilit√© esth√©tique"
"j.l.-","absence of response / of echo","absence de r√©ponse / dí√©cho"
"g.M:M:.-","obstacle related to communication","obstacle communicationnel"
"g.s.-","noise","bruit"
"g.b.-","transmission error","erreur de transmission"
"g.t.-","inappropriate expression | untimely expression","incongruit√© | propos inopportun"
"g.k.-","lack of interest from the public | lack of interest for the medium","d√©saffection du public / du m√©dium"
"g.m.-","malicious gossip | contempt","m√©disance | m√©pris"
"g.n.-","inertia of mindsets","inertie des mentalit√©s"
"g.d.-","calculation mistake","erreur de calcul"
"g.f.-","censorship | message betrayal","censure | trahison du message"
"g.l.-","intellectual closedness | intellectual rigidity","fermeture intellectuelle | rigidit√© intellectuelle"
"h.M:M:.-","spiritual obstacle","obstacle spirituel"
"h.s.-","confusion","confusion"
"h.b.-","manipulative language | manipulation","langage manipulateur | manipulation"
"h.t.-","forgetfullness","oubli"
"h.k.-","betrayal of the spirit / the tradition","trahison de líesprit / de la tradition"
"h.m.-","inconsistency between speech and act","incoh√©rence entre les paroles et les actes"
"h.n.-","opportunism","opportunisme"
"h.d.-","cultural coarseness | cultural poorness","grossi√®ret√© culturelle | pauvret√© culturelle"
"h.f.-","break-up","rupture"
"h.l.-","fundamentalism | xenophobia","int√©grisme | x√©nophobie"
"c.M:M:.-","socio-political obstacle","obstacle sociopolitique"
"c.s.-","fanaticism | ultraconservatism","fanatisme | ultraconservatisme"
"c.b.-","language of exclusion or hate | discrimination based on prejudice","langage díexclusion ou de haine | discrimination bas√©e sur des pr√©jug√©s"
"c.t.-","obsolescence","obsolescence"
"c.k.-","sclerosis of the bond","scl√©rose du lien"
"c.m.-","harrassment | persecution","harc√®lement | pers√©cution"
"c.n.-","political stagnation","stagnation politique"
"c.d.-","hypocrisy | deception","hypocrisie | tromperie"
"c.f.-","personal failure | personal defeat","√©chec personnel | d√©faite personnelle"
"c.l.-","exile","exil"
"p.M:M:.-","economic obstacle","obstacle √©conomique"
"p.s.-","lack of means | situation of need | poverty","manque de moyens | situation de besoin | pauvret√©"
"p.b.-","bad reputation | rejection from the consumers","mauvaise r√©putation | rejet par les consommateurs"
"p.t.-","waste | loss of capital | erosion of capital","gaspillage | perte de capital | √©rosion du capital"
"p.k.-","company closing down | breach of contract | bankruptcy","fermeture díentreprise | rupture de contrat | faillite"
"p.m.-","exploitation","exploitation"
"p.n.-","lack of economic initiative","absence díinitiative √©conomique"
"p.d.-","lack of economic information and training","absence de formation et díinformation √©conomique"
"p.f.-","theft | unfair competition","vol | concurrence d√©loyale"
"p.l.-","illusion of self-sufficiency","illusion díautosuffisance"
"x.M:M:.-","technical obstacle","obstacle technique"
"x.s.-","design flaw","d√©faut de conception"
"x.b.-","isolation | lack of common language | lack of communication tools","isolement | absence de langage commun | absence de moyens de communication"
"x.t.-","deficiency in coordination | deficiency in resources management","d√©faut de coordination | d√©faut de gestion des ressources"
"x.k.-","lack of human resources","manque de ressources humaines"
"x.m.-","labour dispute | conflicts at work","conflit de travail | conflits au travail"
"x.n.-","obsolescence | wear","obsolescence | d√©su√©tude | usure"
"x.d.-","execution flaw","d√©faut díex√©cution"
"x.f.-","non repaired breakdown | inefficiency","panne non r√©par√©e | inefficacit√©"
"x.l.-","expulsion from housing | habitat destruction","expulsion díun logement | destruction díhabitat"
"M:M:.O:O:.-","resources of meaning","ressources du sens"
"s.O:O:.-","sources of meaning in thought","sources du sens dans la pens√©e"
"b.O:O:.-","sources of meaning in communication","sources du sens dans la communication"
"t.O:O:.-","sources of meaning in memory","sources du sens dans la m√©moire"
"k.O:O:.-","sources of meaning in community","sources du sens dans la communaut√©"
"m.O:O:.-","sources of meaning in affective relation","sources du sens dans le rapport affectif"
"n.O:O:.-","sources of meaning in the relation to the cosmos","sources du sens dans le rapport au cosmos"
"d.O:O:.-","sources of meaning in rigor","sources du sens dans la rigueur"
"f.O:O:.-","sources of meaning in the body","sources du sens dans le corps"
"l.O:O:.-","sources of meaning in liberty / in responsibility","sources du sens dans la libert√© / dans la responsabilit√©"
"s.wo.-","strategy","strat√©gie"
"b.wo.-","intellectual exchange","√©change intellectuel"
"t.wo.-","bringing together","mise en relation"
"k.wo.-","school of thought","√©cole de pens√©e"
"m.wo.-","appeal of the unknown","appel de líinconnu"
"n.wo.-","spiritual exercise","exercice spirituel"
"d.wo.-","intellectual constraint","contrainte intellectuelle"
"f.wo.-","intellectual gymnastics","exercice intellectuel"
"l.wo.-","freedom of thought","libert√© de pens√©e"
"s.wa.-","tactic","tactique"
"b.wa.-","negotiation | coordination","n√©gociation | coordination"
"t.wa.-","chance | unexpected events | serendipity","hasard | √©v√©nements inattendus | chance"
"k.wa.-","community of action","communaut√© díaction"
"m.wa.-","audacity","audace"
"n.wa.-","practical wisdom | prudence","sagesse pratique | prudence"
"d.wa.-","ethical constraint","contrainte √©thique"
"f.wa.-","physical activity","activit√© physique"
"l.wa.-","freedom of movement","libert√© de circulation"
"s.wu.-","analysis of perceptions","analyse des perceptions"
"b.wu.-","aesthetic encounter","rencontre esth√©tique"
"t.wu.-","connecting thread","fil conducteur"
"k.wu.-","community of taste","communaut√© de go√ªt"
"m.wu.-","taste for life","go√ªt de vivre"
"n.wu.-","creative imagination","imagination cr√©atrice"
"d.wu.-","aesthetic constraint","contrainte esth√©tique"
"f.wu.-","brilliance of perceptions","√©clat des perceptions"
"l.wu.-","freedom of expression","libert√© díexpression"
"s.we.-","concern for the environment","souci de líenvironnement"
"b.we.-","media climate","climat m√©diatique"
"t.we.-","regularity | recurrence | repetition","r√©gularit√© | r√©currence | r√©p√©tition"
"k.we.-","residential community","communaut√© de r√©sidence"
"m.we.-","acceptance of constraints","acceptation des contraintes"
"n.we.-","cultural roots","racines culturelles"
"d.we.-","technical constraint","contrainte technique"
"f.we.-","leisure | entertainment | recreation","loisir | divertissement | r√©cr√©ation"
"l.we.-","economic responsibility","responsabilit√© √©conomique"
"M:M:.O:M:.-","basis of human development","base du d√©veloppement humain"
"S:M:.O:M:.-","basis of sign for human development","base de signe pour le d√©veloppement humain"
"B:M:.O:M:.-","basis of being for human development","base dí√™tre pour le d√©veloppement humain"
"T:M:.O:M:.-","basis of thing for human development","base de chose pour le d√©veloppement humain"
"s.O:M:.-","thought actualized","pens√©e actualis√©e"
"M:M:.y.-","intelligence","intelligence"
"s.y.-","organized knowledge","connaissance organis√©e"
"b.y.-","formal intelligence","intelligence formelle"
"t.y.-","memory management","gestion de la m√©moire"
"k.y.-","relational intelligence","intelligence relationnelle"
"m.y.-","emotional intelligence","intelligence √©motionnelle"
"n.y.-","knowledge of principles","connaissance des principes"
"d.y.-","knowledge of facts","connaissance factuelle"
"f.y.-","body intelligence","intelligence du corps"
"l.y.-","awareness of limits","conscience des limites"
"M:M:.o.-","value","valeur"
"s.o.-","concern for thought","souci de la pens√©e"
"b.o.-","taste for language","go√ªt du langage"
"t.o.-","right time","moment opportun"
"k.o.-","desire for social bond","d√©sir de lien social"
"m.o.-","emotional involvement","implication √©motionnelle"
"n.o.-","longing for cosmos","volont√© de cosmos"
"d.o.-","truth value","valeur de v√©rit√©"
"f.o.-","living body | sentient being","corps vivant | √™tre sensible"
"l.o.-","space organization","organisation de líespace"
"M:M:.e.-","ability","habilet√©"
"s.e.-","mastery of codes (grammar)","ma√Ætrise des codes (grammaire)"
"b.e.-","reasoning ability (dialectic)","capacit√© de raisonner (dialectique)"
"t.e.-","ability to convince (rhetoric)","capacit√© de convaincre (rh√©torique)"
"k.e.-","self-control (grammar)","ma√Ætrise de soi (grammaire)"
"m.e.-","negotiation ability (dialectic)","capacit√© de n√©gocier (dialectique)"
"n.e.-","leadership (rhetoric)","capacit√© de diriger (rh√©torique)"
"d.e.-","technical know how (grammar)","savoir-faire technique (grammaire)"
"f.e.-","sensorimotor ability (dialectic)","habilet√© sensorimotrice (dialectique)"
"l.e.-","engineering competence (rhetoric)","comp√©tence en ing√©nierie (rh√©torique)"
"M:M:.u.-","semiotic function","fonction s√©miotique"
"s.u.-","image","image"
"b.u.-","speech","parole"
"t.u.-","mark","marque"
"k.u.-","symbol","symbole"
"m.u.-","symptom","sympt√¥me"
"n.u.-","name","nom"
"d.u.-","pointer","pointeur"
"f.u.-","sensation","sensation"
"l.u.-","trace","trace"
"M:M:.a.-","social function","fonction sociale"
"s.a.-","interpreter","interpr√®te"
"b.a.-","storyteller","conteur"
"t.a.-","scribe","scribe"
"k.a.-","chief","chef"
"m.a.-","parent","parent"
"n.a.-","judge","juge"
"d.a.-","researcher","chercheur"
"f.a.-","healer","gu√©risseur"
"l.a.-","guardian","gardien"
"M:M:.i.-","technical function","fonction technique"
"s.i.-","interface","interface"
"b.i.-","medium","medium"
"t.i.-","container","contenant"
"k.i.-","gift","don"
"m.i.-","toy","jouet"
"n.i.-","fire | technical transformation","feu | technique de transformation"
"d.i.-","measuring instrument","instrument de mesure"
"f.i.-","organ","organe"
"l.i.-","knot | technical connection","noeud | technique de connection"
"M:M:.M:O:.-","creation-innovation cycle","cycle de cr√©ation-innovation"
"s.M:O:.-","creation-innovation cycle project","projet de cycle de cr√©ation-innovation"
"b.M:O:.-","communication constraints of a creation-innovation cycle","contrainte de communication díun cycle de cr√©ation-innovation"
"t.M:O:.-","inscription in time of a creation-innovation cycle","inscription dans le temps díun cycle de cr√©ation-innovation"
"k.M:O:.-","social dimension of a creation-innovation cycle","dimension sociale díun cycle de cr√©ation-innovation"
"m.M:O:.-","affective & ethical reverberations of a creation-innovation cycle","r√©verb√©ration affective & √©thique díun cycle de cr√©ation-innovation"
"n.M:O:.-","sustainable transformations resulting from a creation-innovation cycle","transformation durable r√©sultant díun cycle de cr√©ation-innovation"
"d.M:O:.-","truth of a creation-innovation cycle | exactness & rigor of a creation-innovation cycle","v√©rit√© díun cycle de cr√©ation-innovation | exactitude & rigueur díun cycle de cr√©ation-innovation"
"f.M:O:.-","personal connection of a creation-innovation cycle","connexion personelle díun cycle de cr√©ation-innovation"
"l.M:O:.-","manifestation in space of a creation-innovation cycle","manifestation dans líespace díun cycle de cr√©ation-innovation"
"M:M:.j.-","poetic creation-innovation cycle","cycle de cr√©ation-innovation po√©tique"
"s.j.-","poetic project | poetic dimension of a creation-innovation project","projet po√©tique | dimension po√©tique díun projet de cr√©ation-innovation"
"b.j.-","semiotic innovation","innovation s√©miotique"
"t.j.-","artistic reference | artistic tradition","r√©f√©rence artistique | tradition artistique"
"k.j.-","re-created language community","communaut√© de langage re-cr√©√©e"
"m.j.-","expression | poetic awakening of emotion","expression | r√©veil po√©tique des √©motions"
"n.j.-","sustainable transformation of language","transformation durable du langage"
"d.j.-","originality | distinct expression","originalit√© | expression distincte"
"f.j.-","aesthetic vibration between people | aesthetic connection between people","vibration esth√©tique entre personnes | connexion esth√©tique entre personnes"
"l.j.-","influence network of an artistic work | influence network of a poetic work","r√©seau díinfluence díune ≈ìuvre artistique | r√©seau díinfluence díune ≈ìuvre po√©tique"
"M:M:.g.-","communication creation-innovation cycle","cycle de cr√©ation-innovation en communication"
"s.g.-","communication project | communication dimension of a creation-innovation project","projet de communication | dimension de communication díun projet de cr√©ation-innovation"
"b.g.-","content of the message | substance of the message","contenu du message | substance du message"
"t.g.-","traditional theme | recurring theme","th√®me traditionnel | th√®me r√©current"
"k.g.-","re-created public | re-created media community","public re-cr√©√© | communaut√© de m√©dia re-cr√©√©e"
"m.g.-","empathy with the public","empathie avec le public"
"n.g.-","change of public behavior","changement de comportement du public"
"d.g.-","quality of documents | quality of messages","qualit√© des documents | qualit√© des messages"
"f.g.-","faithful spokesman | faithful representative","porte-parole fid√®le | repr√©sentant fid√®le"
"l.g.-","message diffusion graph","graphe de diffusion du message"
"M:M:.h.-","cultural creation-innovation cycle","cycle de cr√©ation-innovation culturel"
"s.h.-","cultural project | cultural dimension of a creation-innovation project","projet culturel | dimension culturelle díun projet de cr√©ation-innovation"
"b.h.-","context reinterpretation","r√©interpr√©tation du contexte"
"t.h.-","spiritual heritage","h√©ritage spirituel"
"k.h.-","re-created community of spirit","communaut√© díesprit re-cr√©√©e"
"m.h.-","coherence between speech and action","coh√©rence entre actes et paroles"
"n.h.-","acculturation","acculturation"
"d.h.-","cultural refinement","raffinement culturel"
"f.h.-","fruitful encounter","rencontre fructueuse"
"l.h.-","migration | cultural mixing","migration | mixage culturel"
"M:M:.c.-","political creation-innovation cycle","cycle de cr√©ation-innovation politique"
"s.c.-","political project | political dimension of a creation-innovation project","projet politique | dimension politique díun projet de cr√©ation-innovation"
"b.c.-","ability to gather people","capacit√© de rassemblement"
"t.c.-","political legacy | political tradition","legs politique | tradition politique"
"k.c.-","renewed social bond","lien social renouvel√©"
"m.c.-","respect of people","respect des personnes"
"n.c.-","political evolution","√©volution politique"
"d.c.-","authenticity","authenticit√©"
"f.c.-","election | appointment | personal victory","√©lection | nomination | victoire personnelle"
"l.c.-","country | territorial projection of political creation","pays | projection territoriale de la cr√©ation politique"
"M:M:.p.-","economic creation-innovation cycle","cycle de cr√©ation-innovation √©conomique"
"s.p.-","economic project | economic dimension of a creation-innovation project","projet √©conomique | dimension √©conomique díun projet de cr√©ation-innovation"
"b.p.-","consumersí conversations about the product or the service","conversations des consommateurs sur le produit ou le service"
"t.p.-","accumulation | gain | benefit","accumulation | gain | b√©n√©fice"
"k.p.-","renewed economic partnership","partenariat √©conomique renouvel√©"
"m.p.-","rendered service","service rendu"
"n.p.-","market evolution","√©volution du march√©"
"d.p.-","economic intelligence","intelligence √©conomique"
"f.p.-","commercial relationship | commercial contact","relation commerciale | contact commercial"
"l.p.-","skills network","r√©seau de comp√©tences"
"M:M:.x.-","technical creation-innovation cycle","cycle de cr√©ation-innovation technique"
"s.x.-","technical project | technical dimension of a creation-innovation project","projet technique | dimension technique díun projet de cr√©ation-innovation"
"b.x.-","collaborative environment","environnement collaboratif"
"t.x.-","calendar of a project | budget of a project","calendrier díun projet | budget díun projet"
"k.x.-","renewed project team","√©quipe de projet renouvel√©e"
"m.x.-","atmosphere of collaboration","atmosph√®re de collaboration"
"n.x.-","transformation of the practical universe","transformation de líunivers pratique"
"d.x.-","rigorous technical procedures | rigorous technical processes","proc√©dures techniques rigoureuses | proc√©d√©s techniques rigoureux"
"f.x.-","satisfied user","utilisateur satisfait"
"l.x.-","moving | spatial arrangement","d√©m√©nagement | am√©nagement díespaces"
"E:U:.O:O:.-","demonstrative | index","d√©monstratif | indice"
"E:A:.O:O:.-","possessive","possessif"
"E:S:.O:O:.-","first person","premi√®re personne"
"E:B:.O:O:.-","second person","deuxi√®me personne"
"E:T:.O:O:.-","third person","troisi√®me personne"
"E:F:.U:O:.-","indifferent number","nombre indiff√©rent"
"E:F:.wo.-","singular number","nombre singulier"
"E:F:.wa.-","plural number","nombre pluriel"
"E:U:.wo.-","this | this one","ce | ceci"
"E:U:.wa.-","these","ces | ceux-ci"
"E:A:.wo.-","my | your | its","mon | ton | son"
"E:A:.wa.-","our | your | their","nos | vos | leur"
"E:S:.wa.-","us","nous"
"E:F:.A:O:.-","neutral gender","genre neutre"
"E:U:.wu.-","this (masculine)","ce (masculin)"
"E:U:.we.-","this (feminine)","cette"
"E:A:.wu.-","his | my (masculine) | your (masculine)","son (masculin)"
"E:A:.we.-","her | my (feminine) | your (feminine)","sa (f√©minin)"
"E:S:.wu.-","I (masculine) | me (masculine) | us (masculine)","je (masculin) | moi (masculin) | nous (masculin)"
"E:S:.we.-","I (feminine) | me (feminine) | us (feminine)","je (f√©minin) | moi (f√©minin) | nous (f√©minin)"
"E:B:.wu.-","you (masculine)","tu (masculin) | toi (masculin) | vous (masculin)"
"E:B:.we.-","you (female)","tu (f√©minin) | toi (f√©minin) | vous (f√©minin)"
"E:T:.we.-","her | she | them (feminine)","elle | elles"
"E:F:.O:M:.-","conjugation","conjugaison"
"E:O:.O:M:.-","diathesis | grammatical voice","diath√®se | voix grammaticale"
"E:M:.O:M:.-","tense | time | when","temps | quand"
"E:U:.O:M:.-","passive voice","voix passive"
"E:A:.O:M:.-","active voice","voix active"
"E:S:.O:M:.-","future tense","temps futur"
"E:B:.O:M:.-","present tense","temps pr√©sent"
"E:T:.O:M:.-","past tense","temps pass√©"
"E:F:.U:M:.-","declarative mood","mode d√©claratif"
"E:F:.y.-","indicative mood","mode indicatif"
"E:U:.y.-","known","connu"
"E:A:.y.-","knowing","connaissant"
"E:S:.y.-","will know","conna√Ætra"
"E:B:.y.-","know (now)","conna√Æt (maintenant)"
"E:T:.y.-","has known","a connu"
"E:F:.o.-","optative mood","mode optatif"
"E:U:.o.-","wanted","voulu"
"E:A:.o.-","willing","voulant"
"E:S:.o.-","will want","voudra"
"E:B:.o.-","want (now)","veut (maintenant)"
"E:T:.o.-","would","voulait"
"E:F:.e.-","abilitative mood","mode abilitatif"
"E:U:.e.-","able | enabled","capable de | habilit√© √†"
"E:A:.e.-","abling | enabling","capacitant | habilitant"
"E:S:.e.-","will be able","pourra"
"E:B:.e.-","can (now)","peut (maintenant)"
"E:T:.e.-","could","pouvait"
"E:F:.u.-","expressive mood","mode expressif"
"E:U:.u.-","expressed","exprim√©"
"E:A:.u.-","expressing","exprimant"
"E:S:.u.-","will express","exprimera"
"E:B:.u.-","express (now)","exprime (maintenant)"
"E:T:.u.-","has expressed","a exprim√©"
"E:U:.a.-","committed","engag√©"
"E:A:.a.-","committing","engageant"
"E:S:.a.-","will commit","síengagera"
"E:B:.a.-","commit (now)","síengage (maintenant)"
"E:T:.a.-","has committed","síest engag√©"
"E:U:.i.-","be done","doit √™tre fait"
"E:A:.i.-","be doing","doit faire"
"E:S:.i.-","will do","devra faire"
"E:B:.i.-","do (now)","fait (maintenant)"
"E:T:.i.-","should","a d√ª faire | devrait faire"
"E:O:.M:O:.-","how (manner)","comment (mani√®re)"
"E:O:.S:O:.-","manner of comparison","mode de comparaison"
"E:O:.B:O:.-","manner of orientation","mode díorientation"
"E:O:.T:O:.-","manner of existence","mode díexistence"
"E:O:.j.-","manner of resemblance (virtual)","mode de ressemblance (virtuel)"
"E:O:.g.-","manner of identity (actual)","mode díidentit√© (actuel)"
"E:O:.h.-","manner of tropism (virtual)","mode de tropisme (virtuel)"
"E:O:.c.-","manner of choice (actual)","mode de choix (actuel)"
"E:O:.p.-","manner of definition (virtual)","mode de d√©finition (virtuel)"
"E:O:.x.-","manner of presence (actual)","mode de pr√©sence (actuel)"
"E:U:.M:O:.-","negative manner","mani√®re n√©gative"
"E:U:.j.-","(by) contrast | but | and yet | on the contrary","(par) contraste | mais | pourtant | au contraire"
"E:U:.g.-","other | different","autre | diff√©rent"
"E:U:.h.-","avoiding | turning oneís back on","en √©vitant | en tournant le dos √†"
"E:U:.c.-","anti | against","anti | contre"
"E:U:.p.-","indefinite | a | some","ind√©fini | un | quelque"
"E:U:.x.-","without","sans"
"E:A:.M:O:.-","positive manner","mani√®re positive"
"E:A:.j.-","by analogy (in a similar manner)","par analogie (díune mani√®re semblable)"
"E:A:.g.-","same | like | as","m√™me | comme"
"E:A:.h.-","seeking | heading towards","en cherchant | vers"
