t.e.-m.u.-' , représentation dramatique , dramatic representation
n.e.-n.a.-' , raffinement moral , moral refinement
E:E:A:. , génitif de , genitive of
n.a.-t.a.-f.o.-' , avocat , lawyer
d.a.-m.a.-f.o.-' , enfant , child
c.o.- , acceptation de l'interdit | renoncement , acceptance of prohibition | renunciation
m.u.-l.u.-d.u.-' , rappelé à  la mémoire , remembered
e.y.-we.h.-' , outiller la recherche , to provide tools for research
f.o.-e.e.-' , développement physique , physical development
i.t.- , briser | fracasser , to break | to smash
E:F:.we.- , genre féminin , feminine gender
s.u.-t.u.-' , idéogramme , ideogram
g.x.- , transformation du crédit , credit transformation
t.wa.- , hasard | événements inattendus , chance | unexpected events
s.M:O:.- , projet de cycle de création-innovation , creation-innovation cycle project
a.b.- , interrompre la transmission , to interrupt transmission
E:M:S:. , moins distributif , distributive minus
n.-M:.O:.-' , élément , element
E:T:.x.- , moyen , mean
k.o.-p.p.-' , production | échange | consommation , production | trade | consumption
k.o.-f.o.-' , collaboration , collaboration
e.n.- , être conformiste , to blindly conform
m.o.-o.o.-s.y.-' , critique sociale , social criticism
l.o.-d.o.-' , orientation , orientation
n.a.-s.a.-' , majorité , majority
o.x.- , s'orienter dans les étapes du travail , to find one's bearings in the steps of work
f.a.-t.a.-' , assurance , insurance
O:M:.F:.- , bouger | accomplir une action physique , to move | to accomplish a physical action
wo.c.- , réfléchir aux communautés possibles , to think about possible communities
E:S:.h.- , opérateur , operator
E:O:T:. , plus comparatif , comparative plus
f.o.-d.o.-s.u.-' , focal , focal
n.-S:.U:.-' , terre , earth
s.e.-d.u.-' , information obtenue , obtained information
m.a.-k.a.-f.o.-' , voisin , neighbor
n.o.-h.h.-s.y.-' , études sur les droits humains , human rights studies
n.o.-u.u.-s.y.-' , lexicologie/ dictionnaires , lexicology / dictionaries
f.o.-s.o.-s.u.-' , surréel | mythique , surreal | mythical
m.u.-n.u.-d.u.-' , subjectif , subjective
E:M:.S:O:.- , cause formelle | rôle formel , formal cause | formal role
s.e.-s.u.-wa.e.-' , compétence en dessin | compétence en peinture , competence in drawing | competence in painting
p.e.- , familiarisation avec le domaine de compétence , familiarization with the domain of competence
a.T:.- , manger , to eat
E:A:.we.- , sa féminin , her | my feminine | your feminine
d.p.- , intelligence économique , economic intelligence
O:O:.b.- , fournir des ressources à  l'action par les jeux du langage , to provide resources for action through language-games
b.i.-n.i.-' , instrument de musique , musical instrument
t.o.-e.e.-s.y.-' , histoire des professions | histoire des métiers , history of professions | history of crafts | history of trades
E:B:.a.- , s'engage maintenant , commit now
f.i.-f.i.-' , organisme , organism
we.j.- , unifier le système symbolique , to unify the symbolic system
k.o.-a.a.-' , mouvement social , social movement
l.o.-s.o.-' , exploration , exploration
M:O:.wa.- , mutation de l'action , action mutation
b.a.-d.a.-f.o.-' , publicitaire , advertiser
a.wo.- , créer une œuvre scientifique | créer une œuvre artistique , to create a scientific work | to create an artistic work
t.a.-n.a.-f.o.-' , législateur , legislator
E:F:.A:O:.- , genre neutre , neutral gender
i.u.-we.h.-' , prendre la parole , to speak out
f.u.-k.u.-d.u.-' , aperçu , glimpsed
n.i.- , feu | technique de transformation , fire | transformation technique
x.s.- , défaut de conception , design flaw
m.e.-l.a.-wa.e.-' , compétence en respect de la loi , competence in abiding by law
E:B:.M:O:.- , cause interactive , interactive cause
f.e.-b.i.-wa.e.-' , compétence en danse , competence in dancing
wu.B:.- , sentir | goûter | reconnaître des formes chimiques , to smell | to taste | to recognize chemical forms
t.u.-b.u.-d.u.-' , écrit , written
o.g.- , choisir son propos | choisir son discours , to choose one's discourse
y.we.- , assumer une tradition familiale | assumer une identité familiale , to assume a family tradition | to assume a family identity
b.u.-s.u.-' , métaphore | ressemblance , metaphor | similarity
s.wa.- , tactique , tactic
M:M:.o.-u.u.-s.y.-' , sciences des messages et de la communication , sciences of messages and communication
c.a.- , identification personnelle au groupe , personal identification to the community
f.i.-s.i.-t.u.-' , assisté , assisted
wo.t.- , se remémorer , to remember
t.u.-t.u.-' , nombre , number
s.p.- , projet économique | dimension économique d'un projet de création-innovation , economic project | economic dimension of a creation-innovation project
t.-T:.U:.-' , saison sèche , dry season
n.a.-m.a.-f.o.-' , père , father
E:S:.y.- , connaîtra , will know
g.j.- , nouvelle réponse , new response
t.e.-k.u.-wa.e.-' , compétence en création de symboles , competence in symbol creation
E:O:.k.- , milieu direction | centre direction , middle direction | center direction
O:M:.o.-we.h.-' , PIC en augmentant la gouvernance , ICI by augmenting governance
d.u.-k.u.-d.u.-' , dressé , erect
h.h.- , mutation éthique , ethical mutation
j.d.- , langue de bois | imitation | psittacisme , double talk | mimicry | parroting
E:U:.o.- , voulu , wanted
u.y.- , répondre , to respond
n.u.-l.u.-d.u.-' , retracé , retraced
wu.u.- , se réorienter dans les modes de communication , to reorient oneself into communication modes
b.a.-f.a.-' , soin , care
i.f.- , être malade | être blessé , to be sick | to be injured
l.a.-m.a.-f.o.-' , allié , ally
f.u.-d.u.-' , exclamation , exclamation
wu.h.- , évaluer les modes d'interprétation , to assess the interpretation mode
m.o.-x.x.-' , marketing | mise en marché , marketing | distribution on the market
e.A:.- , pousser , to push
O:M:.h.- , travailler l'interprétation , to work on the interpretation
k.a.-k.a.-f.o.-' , citoyen , citizen
l.o.-h.h.-s.y.-' , géographie sacrée | architecture sacrée , sacred geography | sacred architecture
y.i.-we.h.-' , transférer des connaissances en pratique , to transfer knowledge in the practical field
g.M:O:.- , transformation sur base expressive , transformation on expressive basis
l.i.-b.i.-' , simulation , simulation
E:M:.d.- , terminaison structurelle , structural termination
y.d.- , ignorer les faits , to ignore facts
u.wu.- , s'exprimer dans les média , to express oneself in the media
wa.U:.- , diffuser la voix & le son | exhiber la voix & le son , to broadcast voice & sound | to display voice & sound
E:+U:+S: , réseaux fictifs de connaissances , fictitious networks of knowledge
b.a.-t.a.-' , comptes , accounts
E:T:.b.- , passage hors de , passage out of
j.u.- , invention d'idées | génération d'idées , invention of ideas | generation of ideas
d.-B:.U:.-' , rugueux , rough
x.f.- , panne non réparée | inefficacité , non repaired breakdown | inefficiency
o.wo.- , utiliser les lois sur la propriété intellectuelle , to use intellectual property law
f.i.-n.i.-' , arme , weapon
h.y.- , fréquentation dune institution d'apprentissage | fréquentation dune école , attendance to a learning institution | attendance to school
d.a.-d.a.-f.o.-' , inventeur , inventor
f.O:O:.- , sources du sens dans le corps , sources of meaning in the body
O:T:. , agir selon la chose , to act according to thing
n.u.-t.u.-d.u.-' , emblématique , emblematic
s.-B:.U:.-' , croissant | augmentant , growing | increasing | waxing
s.e.-b.u.-wa.e.-' , compétence en maîtrise dune deuxième langue , competence in mastering a second language
b.c.- , capacité de rassemblement , ability to gather people
s.e.-s.u.-' , dessin | peinture , drawing | painting
f.e.-k.i.-' , esprit déquipe , team spirit
k.e.-k.a.-wa.e.-' , compétence en adhésion à  une discipline , competence in following a discipline
t.M:O:.- , inscription dans le temps d'un cycle de création-innovation , inscription in time of a creation-innovation cycle
t.a.-n.a.-' , loi , law
E:+U:+T: , réseaux fictifs de pouvoirs , fictitious networks of powers
u.l.- , salir , to soil
n.o.-i.i.-s.y.-' , chimie , chemistry
a.e.- , offrir | fournir , to offer | to supply
n.e.-k.a.-wa.e.-' , compétence en don de soi en exemple , competence in giving oneself as example
l.o.-i.i.-' , phénomène physique , physical phenomenon
E:A:.t.- , avant , before
M:M:.e.-M:M:.A:M:.-' , accomplissements , achievements
d.o.-s.o.-s.u.-' , raisonnable , reasonable
E:B:.e.- , peut maintenant , can now
wa.a.- , cultiver son caractère , to cultivate one's character
E:T:.s.- , à  partir de , from
g.wu.- , 'gestalt switch' , gestalt switch
l.o.-u.u.-s.y.-' , cartographie sémantique , semantic cartography
l.e.-f.i.-' , bioévolution modifiée , modified bioevolution
k.o.-c.c.-s.y.-' , études urbaines , urban studies
d.o.-y.y.-s.y.-' , pensée réflexive , reflexive thought
k.o.-t.o.-' , histoire , history
f.a.-l.a.-' , désastre , disaster
l.o.-u.u.-' , réseau sémantique , semantic network
s.-S:.A:.-' , chaud , hot
f.a.-f.a.-' , culture | élevage , growing | farming
i.T:.- , courir , to run
y.O:O:.- , assumer une identité , to assume an identity
o.T:.- , garder , to keep
b.o.-g.g.-' , représentation transversale , transversal representation
d.o.-m.o.-' , intuition , intuition
t.u.-f.u.-' , mélodie , melody
d.o.-s.o.-' , raisonnement , reasoning
m.a.-m.a.-' , famille , family
i.O:O:.- , équiper , to equip
n.o.-t.o.-s.u.-' , en progrès , in progress
O:O:.s.- , fournir des ressources à  l'action par l'ouverture intellectuelle , to provide resources for action through intellectual openness
f.i.-d.i.-t.u.-' , détecté | capté , detected | sensed
M:O:.m.- , obstacle affectif | obstacle éthique , affective obstacle | ethical obstacle
E:A:.c.- , pro | pour | adhésion , pro | for | support
k.o.-n.o.-' , justice , justice
O:M:.y.- , performer dans le savoir , to perform in knowledge
b.a.-s.a.-f.o.-' , lecteur , reader
b.u.-k.u.-' , prière , prayer
k.wa.- , communauté d'action , community of action
k.e.-t.a.-' , mémoire personnelle , personal memory
t.u.-l.u.-' , photo , photograph
b.u.-k.u.-d.u.-' , demandé , asked for
e.u.-we.h.-' , outiller la recherche d'information , to provide tools for information search
e.i.-we.h.-' , attirer l'investissement | favoriser l'investissement , to draw investments | to stimulate investments
o.t.- , être en retard | procrastiner , to be late | to procrastinate
O:M:.M:O:.- , créer une œuvre de l'esprit , to create a work of the mind
f.o.-k.o.-s.u.-' , rituel , ritual
i.wo.- , équiper l'activité scientifique | équiper l'activité artistique , to equip scientific activity | to equip artistic activity
l.o.-x.x.-s.y.-' , logistique | études des transports , logistics | transport studies
wo.g.- , réfléchir à  d'autres modes de communication , to reflect on other communication modes
f.p.- , relation commerciale | contact commercial , commercial relationship | commercial contact
m.u.-k.u.-' , sacrifice , sacrifice
E:S:.d.- , à  la fin , at the end
M:O:.A:M:.- , condition de l'activité actuelle , condition of actual activity
b.e.-n.u.-wa.e.-' , compétence en érudition littéraire , competence in literary erudition
l.e.-t.i.-' , système de transport , transport system
m.x.- , atmosphère de collaboration , atmosphere of collaboration
p.a.- , contemplation du groupe d'appartenance , contemplation of the community
wa.F:.- , exposer la sensori-motricité , to display sensorimotricity
l.u.-m.u.-' , habitude , habit
e.S:.- , disperser , to disperse
a.M:M:.- , fragiliser la fonction sociale , to undermine the social function
t.u.-t.u.-d.u.-' , quantité , quantity
s.i.-k.i.-t.u.-' , récolté , harvested
s.o.-x.x.-s.y.-' , didactique , didactics
M:M:.-B:.A:.-' , ouest abstrait , abstract west
we.f.- , satisfaire ses besoins primaires , to satisfy one's primary needs
m.i.-f.i.-' , peau , skin
n.o.-e.e.-' , compétence , competence
f.u.-s.u.-' , image mentale , mental image
f.e.-l.i.-wa.e.-' , compétence en arts martiaux , competence in martial arts
m.o.-k.o.-s.u.-' , bienveillant , benevolent
t.u.-f.u.-d.u.-' , séquentiel , sequential
m.wu.- , goût de vivre , taste for life
d.i.-s.i.-t.u.-' , électronique | photonique , electronics | photonics
f.-T:.A:.-' , fade , bland
n.e.- , capacité de diriger rhétorique , leadership rhetoric
b.a.-l.a.-' , transport , transportation
y.m.- , ignorer ses émotions , to ignore emotions
f.e.-s.i.-wa.e.-' , compétence en les disciplines corps-esprit , competence in the body-mind disciplines
a.B:.- , boire , to drink
x.o.- , jouissance , enjoyment
j.h.- , changement de priorité , priority change
d.c.- , authenticité , authenticity
c.e.- , prise du pouvoir , seizure of power
a.O:M:.- , performer sur une base sociale , to perform on a social basis
s.o.-u.u.-' , signification , signification
b.i.-n.i.-t.u.-' , virtuose , virtuoso
o.c.- , orienter son cheminement personnel , to orient one's personal path
n.o.-h.h.-' , droits humains , human rights
t.j.- , référence artistique | tradition artistique , artistic reference | artistic tradition
E:F:U:. , possibilité logique peut , logical possibility may
wo.x.- , réfléchir aux techniques possibles , to ponder possible techniques
g.n.- , inertie des mentalités , inertia of mindsets
s.o.-f.o.-' , incarnation , embodiment
E:S:.u.- , exprimera , will express
E:M:.m.- , intermediaire dynamique , dynamic intermediary
f.o.-g.g.-' , contrôle des écosystèmes , ecosystem control
b.a.-l.a.-f.o.-' , transporteur , carrier
l.i.- , noeud | technique de connection , knot | connection technique
E:O:.B:M:.- , milieu | centre | pendant , core | centre | during
wu.y.- , questionner les savoirs reçus , to question accepted knowledge
e.a.- , demander , to demand
m.g.- , empathie avec le public , empathy with the public
h.l.- , intégrisme | xénophobie , fundamentalism | xenophobia
E:U:.k.- , direction horizontale | même hauteur , horizontal direction | same height
i.j.- , raffiner son langage , to refine one's language
u.u.- , communiquer , to communicate
d.e.-n.i.-' , industrie , industry
f.u.-s.u.-d.u.-' , imaginé , imagined
n.o.-m.o.-s.u.-' , confiant , confident
b.o.-c.c.-s.y.-' , économie de l'information , information economy
O:M:.l.- , négliger l'espace , to neglect space
f.a.-n.a.-' , protection sociale , social protection
k.i.-d.i.-' , marché , market
k.e.-f.a.-' , autonomie physique , physical autonomy
k.o.-l.o.-' , institution , institution
wu.l.- , étendre sa vue d'ensemble , to extend one's overall view
f.o.-j.j.-' , dynamique évolutive , evolutionary dynamics
U:M:.F:.- , bouger objectivement , to move objectively
n.e.-m.a.-' , compréhension mutuelle | entente , mutual understanding | harmony
k.i.-k.i.-t.u.-' , économique , economic
s.y.- , connaissance organisée , organized knowledge
E:M:.M:O:.- , pourquoi | raison | cause | rôle , why | because | reason | cause | role
j.y.- , formulation dune hypothèse | formulation d'un cadre conceptuel , formulation of a hypothesis | formulation of a conceptual framework
x.b.- , isolement | absence de langage commun | absence de moyens de communication , isolation | lack of common language | lack of communication tools
k.O:M:.- , société actualisée , undo the society
t.u.-d.u.-' , index , index
E:F:.o.- , mode optatif , optative mood
B:O:.O:M:.- , condition de l'activité dans l'être , condition of activity in being
t.-M:.O:.-' , saison , season
b.g.- , contenu du message | substance du message , content of the message | substance of the message
k.e.-d.a.-' , jugement , judgement
E:A:.p.- , défini | le , definite | the
b.i.-f.i.-' , système circulatoire | système respiratoire , circulatory system | respiratory system
l.i.-s.i.-t.u.-' , ouvert , open
b.o.-b.o.-' , négation , negation
b.o.-y.y.-s.y.-' , diffusion / vulgarisation , diffusion / popularization
u.h.- , énoncer le sens , to state the meaning
s.e.-l.u.-wa.e.-' , compétence en lecture des signes naturels , competence in reading natural signs
l.-B:.U:.-' , est spatial , spatial east
E:A:A:. , affirmation , affirmation
e.a.-we.h.-' , enrichir la communauté , to enrich the community
a.i.- , vendre , to sell
n.i.-m.i.-' , travail rémunéré , paid work
s.o.-i.i.-' , possibilité conditionnée , conditioned possibility
d.o.-d.o.-s.u.-' , examiné , examined
m.-B:.A:.-' , colère , anger
b.i.-t.i.-' , médiathèque , media library
l.u.-t.u.-d.u.-' , qualitatif , qualitative
E:T:.o.- , voulait , would
E:B:.i.- , fait maintenant , do now
t.o.-n.o.-s.u.-' , date , date
s.o.-t.o.-' , création , creation
b.x.- , environnement collaboratif , collaborative environment
wo.F:.- , moduler les phénomènes , to modulate phenomena
m.u.-t.u.-' , masque , mask
d.a.-s.a.-f.o.-' , étudiant , student
k.a.-s.a.-f.o.-' , diplomate , diplomat
l.o.-i.i.-s.y.-' , physique , physics
b.-S:.U:.-' , bleu , blue
k.we.- , communauté de résidence , residential community
b.o.-s.o.-s.u.-' , interprété , interpreted
M:O:.i.- , condition de l'efficacité , condition of efficiency
O:O:.o.- , travailler les principes , to work on principles
E:T:.O:O:.- , troisième personne , third person
O:M:.O:M:.-we.h.-' , perfectionner l'intelligence collective , to improve collective intelligence
f.a.-d.a.-f.o.-' , technicien , technician
wa.n.- , cultiver sa motivation , cultivate one's motivation
s.u.-n.u.-' , nom commun , common name
E:S:.wu.- , je masculin | moi masculin | nous masculin , I masculine | me masculine | us masculine
a.a.-we.h.-' , créer la confiance , to create trust
M:O:.O:M:.- , condition de l'activité , condition of activity
t.i.-b.i.-' , document , document
t.u.-n.u.-d.u.-' , unique , unique
s.g.- , projet de communication | dimension de communication d'un projet de création-innovation , communication project | communication dimension of a creation-innovation project
m.e.-k.a.-wa.e.-' , compétence en attitude collaborative , competence in collaborative attitude
n.o.-m.o.-' , foi , faith
d.u.-m.u.-' , réaction physique , physical reaction
o.B:.- , attraper | tenir , to catch | to grasp
m.o.-e.e.-s.y.-' , orientation professionnelle , professional orientation
d.h.- , raffinement culturel , cultural refinement
s.u.-l.u.-d.u.-' , obscur , obscure
E:U:.x.- , sans , without
i.F:.- , accomplir un mouvement énergique , to perform a physical movement energetically
f.o.-h.h.-' , droits du vivant , rights of the living
t.o.-t.o.-s.u.-' , en transition | temporel , in transition | temporal
E:M:.T:M:.- , terminaison , termination
t.e.- , capacité de convaincre rhétorique , ability to convince rhetoric
k.u.-n.u.-' , totem , totem
p.we.- , conséquence irréversible , irreversible consequence
c.j.- , transformation de l'enseignement , teaching transformation
s.e.-m.u.-wa.e.-' , jouer comédie , to play
d.e.-s.i.-wa.e.-' , compétence en inventivité pratique , competence in practical ingenuity
d.u.-b.u.-' , avertissement , warning
d.o.-c.c.-s.y.-' , études financières , financial studies
E:U:.O:O:.- , démonstratif | indice , demonstrative | index
E:E:B:. , datif | bénéficiaire à  , dativeÂ | beneficiary to
b.u.-s.u.-d.u.-' , semblable , similar
we.wu.- , donner naissance , to give birth
d.o.-p.p.-s.y.-' , sciences du renseignement , intelligence studies
s.e.-m.u.-' , jeu d'acteur , actor's play
p.m.- , exploitation , exploitation
M:M:.we.- , sources du sens dans la durabilité , sources of meaning in sustainability
we.b.- , cultiver le système d'information , to cultivate the information system
b.o.-i.i.-' , représentation scientifique , scientific representation
e.f.- , négliger le corps , to neglect the body
f.e.-t.i.-' , conduite sûre , safe driving
t.e.-l.u.-wa.e.-' , compétence en recherche scientifique , competence in scientific research
l.o.-m.o.-' , liberté , liberty
f.u.-m.u.-' , larme , tear
wu.m.- , exprimer ses émotions , to express one's emotions
b.u.-m.u.-' , voix , voice
l.o.-b.o.-' , composition , composition
u.i.-we.h.-' , donner la parole | écouter , to invite someone to address | to listen
l.a.-n.a.-' , défense , defense
b.o.-j.j.-s.y.-' , mathématiques , mathematics
f.u.-b.u.-' , accent , accent
E:B:.wu.- , tu masculin | toi masculin | vous masculin , you masculine
l.O:O:.- , sources du sens dans la liberté | sources du sens dans la responsabilité , sources of meaning in liberty | sources of meaning in responsibility
wo.l.- , faire de l'espace | réorganiser , to make room | to reorganize
l.o.-g.g.-' , touriste , tourist
s.x.- , projet technique | dimension technique d'un projet de création-innovation , technical project | technical dimension of a creation-innovation project
d.O:M:.- , vérité actualisée , neglect exactitude
wo.B:.- , contrôler le goût | contrôler l'odeur | cuisiner | brasser | mener des processus chimiques , to control taste | to control smell | to cook | to brew | to lead chemical processes
g.b.- , erreur de transmission , transmission error
o.o.- , viser un objectif , to aim at an objective
E:O:.c.- , mode de choix actuel , manner of choice actual
t.i.-t.i.-t.u.-' , enregistré , recorded
M:M:.o.-M:M:.o.-' , fonctions anthropologiques , anthropological functions
n.o.-x.x.-s.y.-' , éthique juridique | criminologie , law ethics | criminology
d.e.-t.i.-' , matériel bien entretenu , well-maintained material
E:E:S:. , nominatif | relation verbe-sujet , nominative | subject-verb relation
b.i.-f.i.-t.u.-' , distribué , distributed
d.o.-k.o.-' , sécurité , security
l.u.- , trace , trace
E:U:.g.- , autre | différent , other | different
t.o.-h.h.-s.y.-' , histoire sacrée , sacred history
n.u.-d.u.-' , étiquette , tag
l.o.-m.o.-s.u.-' , libre , free
m.M:O:.- , réverbération affective & éthique d'un cycle de création-innovation , affective & ethical reverberations of a creation-innovation cycle
j.m.- , banalité | expression non-sentie , banality | unfelt expression
x.n.- , obsolescence | désuétude | usure , obsolescence | wear
b.o.-f.o.-s.u.-' , courageux , courageous
y.l.- , ignorer ses limites | ignorer les limites , to ignore one's limits | to ignore limits
E:+U:+B: , réseaux fictifs de volontés | réseaux fictifs de règles , fictitious networks of will | fictitious networks of rules
u.U:.- , venir , to come
j.M:O:.- , transformation sur base de savoir , transformation on knowledge basis
E:T:.j.- , structure , structure
s.o.-k.o.-' , intelligence collective , collective intelligence
E:O:.t.- , haut en relation au tout | devant en relation au tout | avant temps spatialisé , top relative to whole | front relative to whole | before spatialized time
E:M:.l.- , terminaison dans l'espace relatif , relative space termination
E:S:U:. , possibilité , possibility
E:T:B:. , quelque part , somewhere
n.o.-g.g.-' , relation transculturelle , transcultural relation
n.a.-n.a.-' , communauté spirituelle , spiritual community
d.u.-s.u.-d.u.-' , cartographié , mapped
u.O:M:.- , performer sur une base expressive , to perform on an expressive basis
M:M:.o.-M:O:.M:O:.-s.y.-' , connaissances organisées B , organized knowledge B
m.e.-f.a.-wa.e.-' , compétence en production du bien-être , competence in producing well-being
wo.y.- , s'orienter dans les savoirs , to find one's bearings in knowledge
A:O:. , générer à  partir de l'actuel , to generate from the actual
t.a.-b.a.-' , édition | publication , editing | publishing
f.e.-m.i.-wa.e.-' , compétence en subtilité des sens , competence in subtlety of the senses
g.s.- , bruit , noise
l.u.-d.u.-' , échantillon , sample
B:M:. , base dans l'être , basis in being
s.o.-x.x.-' , méthodes d'enseignement , teaching methods
i.o.- , obtenir une position , to obtain a position | to get a position
E:M:.B:O:.- , cause fonctionnelle | rôle fonctionnel , functional cause | functional role
u.t.- , contrefaire | faire un faux , to counterfeit | to forge
f.o.-i.i.-s.y.-' , biologie , biology
l.i.-k.i.-t.u.-' , immobilier | foncier , real-estate | land
t.o.-p.p.-' , relations internationales , international relations
E:B:.m.- , médiane entre gauche & droite , medium between left & right
o.u.-we.h.-' , filtrer l'information , to filter information
k.o.-m.o.-s.u.-' , amical , friendly
y.A:.- , déplier | développer , to unfold | to unwrap
a.n.- , corrompre , to corrupt
a.F:.- , accomplir une fonction métabolique , perform metabolic function
n.o.-e.e.-s.y.-' , taxonomie de compétences , skill taxonomy
b.o.-k.o.-' , communication , communication
k.i.-s.i.-t.u.-' , à  recycler , to be recycled
b.i.-d.i.-t.u.-' , affiché , displayed
d.o.-h.h.-' , pratiques religieuses | croyances religieuses , religious practices | religious beliefs
f.u.- , sensation , sensation
s.a.-t.a.-f.o.-' , informaticien , computer scientist
f.o.-i.i.-' , phénomène biologique , biological phenomenon
t.o.-e.e.-' , profession | métier , profession | craft | trade
m.o.-x.x.-s.y.-' , études du marketing , marketing studies
d.-T:.A:.-' , visqueux | gluant , viscous | slimy
b.we.- , climat médiatique , media climate
we.s.- , cultiver l'équilibre intellectuel , to cultivate intellectual equilibrium
h.we.- , recadrage de la situation , situation reframing
m.-S:.A:.-' , surprise | étonnement , surprise | wonder
E:A:.k.- , vers le coeur | vers le centre , towards the core | towards the center
d.e.-n.i.-wa.e.-' , compétence en la maîtrise de la production , competence in the mastery of production
k.i.-m.i.-t.u.-' , symbole de jeu , play symbol
e.wa.- , posséder un bien économique | posséder un capital , to possess an economic good | to possess a capital
c.wo.- , maturation personnelle , personal maturation
E:T:S:. , nulle part , nowhere
M:M:.o.-e.e.-s.y.-' , sciences des compétences , sciences of competences
u.c.- , s'engager à  changer , to commit oneself to change
O:O:.k.- , fournir des ressources à  l'action par la générosité , to provide resources for action through generosity
s.o.-h.h.-s.y.-' , théologie , theology
b.o.-j.j.-' , structure formelle , formal structure
u.o.-we.h.-' , résumer en vue de la gouvernance , to summarize for governance
M:O:.e.- , condition du pouvoir , condition of power
d.y.- , connaissance factuelle , knowledge of facts
wa.j.- , perfectionner le système symbolique , to improve the symbolic system
k.e.-l.a.-wa.e.-' , compétence en auto-protection , competence in self-protection
e.j.- , maîtriser un média , to master a medium
b.o.-b.o.-s.u.-' , contraire , opposite
d.i.-f.i.-t.u.-' , perçu , perceived
f.o.-b.o.-' , geste | coup , gesture | blow
t.a.-t.a.-f.o.-' , fondateur , founder
s.c.- , projet politique | dimension politique d'un projet de création-innovation , political project | political dimension of a creation-innovation project
M:M:.wa.- , sources pratiques du sens , practical sources of meaning
n.e.-s.a.-' , démarche collective , collective approach
d.i.-k.i.-' , monnaie , money
wu.O:O:.- , traverser les âges , to go through the age cycle
wa.O:O:.- , traverser le cycle quotidien , to go through the daily cycle
k.e.-l.a.-' , sécurité personnelle , personal security | personal safety
l.a.-k.a.-' , armée , army
S:O:.O:M:.- , condition de l'activité dans le signe , condition of activity in sign
t.a.- , scribe , scribe
E:F:.O:O:.- , pronom , pronoun
f.a.-s.a.-f.o.-' , consultant , consultant
E:O:.M:M:.- , où | lieu selon l'orientation axiale adverbe | préposition | conjonction , where | place according to axial orientation adverb | preposition | conjunction
f.e.-f.i.-' , performance physique , physical performance
T:O:. , chose en mutation , thing in mutation
f.-S:.U:.-' , salé , salty
p.i.- , modélisation | répétition , modeling | rehearsal
c.n.- , stagnation politique , political stagnation
f.h.- , rencontre fructueuse , fruitful encounter
M:O:.n.- , obstacle dans le défaut de vitalité , obstacle in vitality deficiency
e.M:M:.- , manquer d'habileté , to lack ability
l.e.-k.i.-' , prospérité , prosperity
n.i.-s.i.-' , moteur , engine
E:U:.t.- , au sommet | à  la tête , at the top | at the head
k.o.-y.y.-' , communauté savante , scholar community
n.i.-m.i.-t.u.-' , valeur ajoutée , added value
E:M:T:. , plus distributif , distributive plus
s.i.-t.i.-' , filtre , filter
y.u.- , interroger , to interrogate
b.o.-d.o.-s.u.-' , clair , clear
i.b.- , rompre la communication , to cut off communication
l.o.-k.o.-s.u.-' , territorial , territorial
M:M:.M:O:.- , cycle de création-innovation , creation-innovation cycle
b.o.-u.u.-' , langue naturelle , natural language
k.a.-d.a.-' , vente , sale
h.d.- , grossièreté culturelle | pauvreté culturelle , cultural coarseness | cultural poorness
U:M:. , agir virtuellement , to act virtually
s.we.- , souci de l'environnemt , concern for the environment
m.o.-y.y.-' , objet de controverse , controversial object
x.wu.- , nouvel instrument d'observation , new instrument of observation
o.k.- , briser les liens sociaux , to break social bonds
wo.p.- , redéfinir les objectifs , to redefine objectives
s.O:O:.- , sources du sens dans la pensée , sources of meaning in thought
E:S:.m.- , flux | courant , flux | stream
o.o.-we.h.-' , approfondir la vision , to deepen a view
g.f.- , censure | trahison du message , censorship | message betrayal
E:U:.c.- , anti | contre , anti | against
l.i.-s.i.-' , ouverture | porte | fenêtre , opening | door | window
t.wo.- , mise en relation , bringing together
E:F:M:. , adverbe de gradient , gradient adverb
y.wa.- , assumer une identité corporative , to assume a corporate identity
s.a.-l.a.-' , innovation , innovation
E:O:.g.- , mode d'identité actuel , manner of identity actual
t.a.-s.a.-' , traduction , translation
k.i.-l.i.-' , maison | bâtiment , house | building
m.i.-k.i.-t.u.-' , ludique , playful
E:T:.M:M:.- , orientation d'entrée-sortie , in-out orientation
E:E:O:. , indicateurs de cas pour clause nominale , case indicators for noun clauses
t.o.-d.o.-' , pertinence , relevance
m.o.- , implication émotionnelle , emotional involvement
M:O:.we.- , mutation de la reconstitution , reconstitution mutation
d.o.-i.i.-' , fait empirique , empirical fact
j.wu.- , nouvelle grille de perception , new perception grid
o.F:.- , manipuler des objets de valeur , to manipulate valuable objects
t.i.-m.i.-' , trésor , treasure
x.j.- , évolution de la computation , computation evolution
x.O:M:.- , processus matériel actualisant actuel , actualizing material process actual
wu.d.- , observer , to observe
E:T:.f.- , dans une entrée , into an entrance
d.a.-f.a.-' , leçon , lesson
y.h.- , examiner les sens possibles , to examine possible meanings
b.a.-f.a.-f.o.-' , infirmier | soignant , nurse | caregiver
i.B:.- , sauter , to jump
k.o.- , désir de lien social , desire for social bond
O:M:.U:.- , bouger de façon centripète , to move centripetally
n.O:M:.- , monde actualisé , world actualized
b.O:O:.- , sources du sens dans la communication , sources of meaning in communication
l.i.-m.i.-t.u.-' , meublé , furnished
E:O:.x.- , mode de présence actuel , manner of presence actual
m.o.-u.u.-s.y.-' , philologie , philology
