"o.wa.-","use administrative /commercial law"
"k.o.-l.o.-’","institution"
"l.o.-s.o.-’","exploration"
"l.u.-t.u.-d.u.-’","qualitative"
"l.i.-s.i.-t.u.-’","open"
"d.o.-d.o.-s.u.-’","examined"
"k.e.-d.a.-’","facts from observation"
"a.i.-","sell"
"t.o.-n.o.-s.u.-’","date"
"l.-B:.U:.-’","spatial east"
"e.a.-we.h.-’","enrich the community"
"E:T:.o.-","would"
"E:B:.i.-","do (now)"
"m.-B:.A:.-’","anger"
"d.a.-s.a.-f.o.-’","student"
"s.u.-n.u.-’","common name"
"b.x.-","collaborative environment"
"wo.F:.-","modulate phenomena"
"O:O:.wu.-","produce fruit"
"k.a.-s.a.-f.o.-’","diplomat"
"l.u.-m.u.-’","habit"
"O:M:.O:M:.-we.h.-’","improve collective intelligence"
"k.we.-","residential community"
"M:O:.i.-","condition of efficiency"
"b.o.-s.o.-s.u.-’","interpreted"
"m.u.-t.u.-’","mask"
"O:O:.o.-","work on principles"
"E:T:.O:O:.-","third person"
"t.i.-b.i.-’","document"
"s.o.-t.o.-’","creation"
"b.-S:.U:.-’","blue"
"wa.n.-","cultivate one’s motivation"
"f.a.-d.a.-f.o.-’","technician"
"E:S:.wu.-","I (masculine) | me (masculine) | us (masculine)"
"M:O:.O:M:.-","condition of activity"
"s.g.-","communication project | communication dimension of a creation-innovation project"
"o.B:.-","catch | grasp"
"s.e.-m.u.-wa.e.-’","play the comedy"
"d.h.-","cultural refinement"
"d.e.-s.i.-wa.e.-’","pratical ingenuity"
"d.u.-m.u.-’","physical reaction"
"E:U:.x.-","without"
"i.F:.-","perform a physical movement energetically"
"E:M:.T:M:.-","termination"
"t.e.-","ability to convince (rhetoric)"
"s.u.-l.u.-d.u.-’","obscure"
"p.we.-","irreversible consequence"
"c.j.-","transformation in teaching"
"t.o.-t.o.-s.u.-’","in transition | temporal"
"t.u.-n.u.-d.u.-’","unique"
"E:U:.O:O:.-","demonstrative | index"
"E:E:B:.","dativeÂ | beneficiary (to)"
"we.wu.-","give birth"
"k.u.-n.u.-’","totem"
"f.e.-t.i.-’","safe driving"
"d.u.-b.u.-’","warning"
"b.u.-s.u.-d.u.-’","similar"
"p.m.-","exploitation"
"M:M:.we.-","sources of meaning in sustainability"
"s.e.-m.u.-’","actor’s play"
"we.b.-","cultivate the information system"
"e.f.-","neglect the body"
"l.o.-m.o.-’","liberty"
"u.i.-we.h.-’","invite someone to address | listen"
"wu.m.-","express one’s emotions"
"t.e.-l.u.-wa.e.-’","scientific research"
"E:B:.wu.-","you (masculine)"
"l.O:O:.-","sources of meaning in liberty / in responsibility"
"wo.l.-","make room | reorganize"
"s.x.-","technical project | technical dimension of a creation-innovation project"
"t.i.-t.i.-t.u.-’","recorded"
"d.O:M:.-","truth actualized"
"wo.B:.-","control taste / smell | cook | brew | lead chemical processes"
"g.b.-","transmission error"
"b.u.-m.u.-’","voice"
"o.o.-","aim at an objective"
"l.o.-b.o.-’","composition"
"b.i.-f.i.-t.u.-’","distributed"
"f.u.-b.u.-’","accent"
"l.a.-n.a.-’","defense"
"d.e.-t.i.-’","well-maintained material"
"k.i.-k.i.-t.u.-’","economic"
"E:O:.c.-","manner of choice (actual)"
"M:M:.o.-M:M:.o.-’","anthropological functions"
"n.u.-d.u.-’","tag"
"s.-O:.O:.-T:.O:.-’","imagination"
"s.-U:.A:.-T:.U:.-’","percept: background"
"d.u.-s.u.-d.u.-’","mapped"
"E:E:S:.","nominative | subject-verb relation"
"m.e.-k.a.-wa.e.-’","collaborative attitude"
"n.o.-m.o.-’","faith"
"l.u.-","trace"
"E:U:.g.-","other | different"
"m.M:O:.-","affective & ethical reverberations of a creation-innovation cycle"
"j.m.-","banality | unfelt expression"
"x.n.-","obsolescence | wear"
"y.l.-","ignore limits"
"u.U:.-","come"
"j.M:O:.-","transformation on knowledge basis"
"E:T:.j.-","structure"
"l.o.-m.o.-s.u.-’","free"
"E:O:.t.-","top (relative to whole) | front (relative to whole) | before (spatialized time)"
"E:M:.l.-","relative space termination"
"E:S:U:.","possibility"
"E:T:B:.","somewhere"
"s.o.-k.o.-’","collective intelligence"
"u.O:M:.-","perform on an expressive basis"
"b.o.-f.o.-s.u.-’","courageous"
"wo.y.-","find one’s bearings in knowledge"
"n.a.-n.a.-’","spiritual community"
"l.u.-d.u.-’","sample"
"A:O:.","generate from the actual"
"s.-A:.A:.-M:.O:.-’","ideas level"
"s.-U:.U:.-B:.U:.-’","performance: relevance"
"g.s.-","noise"
"B:M:.","becoming of the being"
"t.a.-b.a.-’","editing | publishing"
"i.o.-","obtain / get (a position)"
"m.e.-f.a.-wa.e.-’","to provide welfare"
"l.o.-k.o.-s.u.-’","territorial"
"E:M:.B:O:.-","functional cause | functional role"
"f.e.-m.i.-wa.e.-’","subtlety of the senses"
"u.t.-","counterfeit | forge"
"u.o.-we.h.-’","Summarize for governance"
"k.i.-s.i.-t.u.-’","to be recycled"
"E:B:.m.-","medium between left & right"
"s.-U:.A:.-M:.O:.-’","objects level"
"y.A:.-","unfold | unwrap"
"a.n.-","corrupt"
"a.F:.-","perform a metabolic function"
"d.-T:.A:.-’","viscous | slimy"
"f.u.-","sensation"
"b.i.-d.i.-t.u.-’","displayed"
"b.o.-k.o.-’","communication"
"k.o.-m.o.-s.u.-’","friendly"
"b.we.-","media climate"
"we.s.-","cultivate intellectual equilibrium"
"h.we.-","situation reframing"
"k.i.-m.i.-t.u.-’","play symbol"
"E:A:.k.-","towards the core | towards the center"
"s.a.-t.a.-f.o.-’","computer scientist"
"e.wa.-","possess an economic good / a capital"
"c.wo.-","personal maturation"
"E:T:S:.","nowhere"
"O:O:.k.-","provide resources for action through generosity"
"u.c.-","commit oneself to change"
"l.i.-k.i.-t.u.-’","real-estate | land"
"M:O:.e.-","condition of power"
"m.-S:.A:.-’","surprise | wonder"
"(O:+M:)(O:+M:).","Symbolic functions"
"d.e.-n.i.-wa.e.-’","mastery of production"
"d.y.-","knowledge of facts"
"o.u.-we.h.-’","filter information"
"wa.j.-","improve symbolic systems"
"s.i.-t.i.-’","filter"
"m.i.-k.i.-t.u.-’","playful"
"n.i.-m.i.-t.u.-’","added value"
"e.j.-","master a medium"
"d.i.-f.i.-t.u.-’","perceived"
"b.o.-b.o.-s.u.-’","opposite"
"b.e.-t.u.-wa.e.-’","logic | programming"
"s.c.-","political project | political dimension of a creation-innovation project"
"M:M:.wa.-","practical sources of meaning"
"l.i.-s.i.-’","opening | door | window"
"f.e.-f.i.-’","physical performance"
"t.a.-s.a.-’","translation"
"f.-S:.U:.-’","salty"
"wu.O:O:.-","going through the age cycle"
"wa.O:O:.-","going through the daily cycle"
"S:O:.O:M:.-","condition of activity in sign"
"t.a.-","scribe"
"E:F:.O:O:.-","pronoun"
"E:O:.M:M:.-","where | place according to axial orientation (adverb | preposition | conjunction)"
"T:O:.","thing in mutation"
"p.i.-","modeling | rehearsal"
"c.n.-","political stagnation"
"k.e.-l.a.-’","personal security | personal safety"
"f.h.-","fruitful encounter"
"e.M:M:.-","lack ability"
"M:O:.n.-","obstacle in vitality deficiency"
"f.a.-s.a.-f.o.-’","consultant"
"E:U:.t.-","at the top | at the head"
"k.e.-l.a.-wa.e.-’","self-protection"
"E:M:T:.","distributive plus"
"f.o.-b.o.-’","gesture | blow"
"y.u.-","interrogate"
"i.b.-","cut off communication"
"M:M:.M:O:.-","creation-innovation cycle"
"o.o.-we.h.-’","deepen the vision"
"d.u.-m.u.-d.u.-’","reflex"
"h.d.-","cultural coarseness | cultural poorness"
"b.o.-d.o.-s.u.-’","clear"
"U:M:.","act virtually"
"s.we.-","concern for the environment"
"k.i.-l.i.-’","house | building"
"x.wu.-","new instrument of observation"
"E:B:U:.","credibility"
"S:M:.e.-M:M:.u.-’  +  B:M:.e.-M:M:.a.-’  +  T:M:.e.-M:M:.i.-’","accomplishments"
"o.k.-","break social bonds"
"n.i.-s.i.-’","engine"
"wo.p.-","redefine objectives"
"s.O:O:.-","sources of meaning in thought"
"s.-A:.A:.-B:.A:.-’","affect: intensity"
"l.e.-k.i.-’","prosperity"
"n.u.-t.u.-d.u.-’","emblematic"
"E:S:.m.-","flux | stream"
"g.f.-","censorship | message betrayal"
"k.a.-d.a.-’","sale"
"E:U:.c.-","anti | against"
"t.wo.-","bringing together"
"y.wa.-","assume a corporate identity"
"d.i.-k.i.-’","money"
"t.o.-d.o.-’","relevance"
"E:O:.g.-","manner of identity (actual)"
"s.a.-l.a.-’","innovation"
"o.O:M:.-we.h.-’","improve collective intelligence through orientation"
"n.e.-s.a.-’","collective approach"
"l.a.-k.a.-’","army"
"E:T:.M:M:.-","in-out orientation"
"E:E:O:.","case indicators for noun clauses"
"m.o.-","emotional involvement"
"M:O:.we.-","reconstitution mutation"
"b.a.-f.a.-f.o.-’","nurse | caregiver"
"t.a.-t.a.-f.o.-’","founder"
"o.F:.-","manipulate valuable objects"
"j.wu.-","new perception grid"
"x.O:M:.-","actualizing material process (actual)"
"x.j.-","computation evolution"
"wu.d.-","to observe"
"m.o.-t.o.-’","loyalty"
"f.o.-s.o.-’","imaginary"
"E:T:.f.-","into (an entrance)"
"t.i.-m.i.-’","treasure"
"m.i.-l.i.-’","textile | clothing"
"y.h.-","examine possible meanings"
"i.B:.-","jump"
"O:M:.U:.-","move centripetally"
"k.o.-","desire for social bond"
"k.o.-k.o.-s.u.-’","peaceful"
"f.i.-k.i.-’","food | drink"
"n.O:M:.-","world actualized"
"l.i.-m.i.-t.u.-’","furnished"
"b.O:O:.-","sources of meaning in communication"
"E:O:.x.-","manner of presence (actual)"
"s.-U:.U:.-S:.U:.-’","enunciation: meaning"
"l.e.-n.i.-’","tool | machine"
"b.-T:.A:.-’","black"
"E:M:.h.-","virtual functional cause"
"O:M:.d.-","neglect exactitude"
"m.e.-l.a.-’","power of the law"
"O:O:.x.-","govern the technical system"
"n.a.-k.a.-’","reform"
"wa.B:.-","display / broadcast smell & taste"
"y.M:M:.-","obscure intelligence"
"d.a.-b.a.-f.o.-’","producer"
"s.o.-t.o.-s.u.-’","created"
"k.-S:.A:.-’","luminous"
"d.e.-f.i.-’","operation on the body"
"u.p.-","explain one’s subject"
"a.y.-we.h.-’","Invest in research"
"y.S:.-","sort | differentiate"
"i.s.-","block interfaces"
"b.a.-d.a.-f.o.-’","advertiser"
"f.u.-m.u.-’","tear"
"m.i.-m.i.-t.u.-’","fetishized"
"E:A:.O:O:.-","possessive"
"E:A:.x.-","with"
"y.y.-","master a knowledge field"
"A:M:.F:.-","move subjectively"
"a.a.-","contract"
"h.u.-","clarifying the meaning of the message"
"d.a.-f.a.-’","lesson"
"E:F:.wu.-","masculine gender"
"d.i.-d.i.-t.u.-’","quantified"
"o.M:M:.-","dim human existence"
"f.y.-","body intelligence"
"l.a.-k.a.-f.o.-’","officer"
"M:M:.o.-","value"
"t.u.-l.u.-d.u.-’","photographed"
"O:O:.U:.-","control auditory experience"
"n.i.-k.i.-t.u.-’","for sale"
"O:M:.u.-","perform in expression"
"n.i.-b.i.-’","lighting"
"f.wo.-","intellectual gymnastics"
"f.-B:.U:.-’","sour | acidic"
"wu.F:.-","feel / recognize shapes"
"b.p.-","consumers’ conversations about the product or the service"
"o.i.-we.h.-’","orient production"
"m.u.-n.u.-’","subject"
"s.o.-n.o.-’","meditation"
"b.e.-d.u.-wa.e.-’","documentation"
"M:O:.U:M:.-","condition of virtual activity"
"m.a.-d.a.-’","partnership"
"E:A:.g.-","same | like | as"
"c.M:O:.-","transformation on social basis"
"e.we.-","control birth"
"s.u.-n.u.-d.u.-’","conceptual"
"M:O:.a.-","condition of social integration"
"O:O:.g.-","govern the communication"
"b.u.-b.u.-’","hypertext"
"we.o.-","update principles"
"h.wa.-","situation reversal"
"k.a.-m.a.-f.o.-’","brother | sister"
"n.e.-b.a.-’","community image"
"E:U:U:.","interrogation?"
"wa.f.-","cultivate one’s physical energy"
"wa.b.-","express oneself through acts"
"b.o.-t.o.-’","promise"
"i.e.-","take"
"t.o.-n.o.-’","calendar"
"t.a.-l.a.-f.o.-’","archivist"
"M:M:.-S:.A:.-’","abstract south"
"d.o.-m.o.-s.u.-’","intuitive"
"l.i.-t.i.-’","closure | bag"
"f.-S:.A:.-’","sweet"
"b.a.-b.a.-’","literature"
"E:S:.O:M:.-","future tense"
"s.o.-","concern for thought"
"A:","actual"
"s.-U:.A:.-S:.A:.-’","concept: existence"
"k.u.-l.u.-’","relic | mortal remains"
"g.i.-","tactical mobility improvement"
"E:S:.x.-","part"
"n.u.-n.u.-d.u.-’","unknown"
"M:M:.-B:.U:.-’","abstract east"
"k.a.-","chief"
"E:A:.f.-","behind"
"we.U:.-","make silence | insulate from sound"
"E:O:.j.-","manner of resemblance (virtual)"
"f.o.-b.o.-s.u.-’","played"
"i.A:.-","throw"
"E:A:S:.","a few | quantitative less"
"h.g.-","new communication form"
"wa.s.-","have concern for action"
"j.c.-","learning transformation"
"E:U:.p.-","indefinite | a | some"
"p.u.-","taking into account of the context"
"B:","being"
"m.e.-t.a.-’","strength of personal ties"
"t.i.-s.i.-t.u.-’","in transit"
"wu.e.-","assess competences"
"j.t.-","archaism"
"a.U:.-","digest | assimilate"
"e.m.-","threaten"
"u.u.-we.h.-’","bring consistency"
"m.o.-t.o.-s.u.-’","loyal"
"E:T:.e.-","could"
"b.e.-d.u.-’","research object"
"s.u.-m.u.-d.u.-’","dream-like"
"wo.d.-","meditate on alternative truths"
"b.u.-t.u.-d.u.-’","programmed"
"E:O:U:.","logical may"
"s.i.-f.i.-’","nervous system | immune system"
"d.e.-t.i.-wa.e.-’","maintenance"
"t.i.-d.i.-’","clock"
"n.y.-","knowledge of principles"
"wa.O:M:.-","master work activity"
"k.e.-b.a.-wa.e.-’","speaking sincerely"
"h.x.-","new application | new candidacy"
"c.wu.-","bodily transformation"
"f.u.-m.u.-d.u.-’","sentimental"
"t.u.-k.u.-d.u.-’","scriptural"
"wa.wo.-","wake up"
"k.a.-t.a.-f.o.-’","secretary"
"wa.T:.-","display movement | drive | dance"
"d.o.-","truth value"
"O:O:.a.-","work on commitment"
"E:U:.M:O:.-","negative manner"
"d.e.-f.i.-wa.e.-’","surgery | body care"
"b.i.-t.i.-t.u.-’","information medium"
"a.h.-","defend an interpretation"
"s.o.-b.o.-s.u.-’","inspired"
"o.e.-we.h.-’","educate"
"E:A:B:.","medium quantity | quantitative as much"
"u.we.-","give mutual support / help family"
"E:B:.d.-","in closed (space)"
"s.i.-f.i.-t.u.-’","recognized"
"k.-B:.A:.-’","low-pitched"
"y.t.-","forget"
"n.h.-","acculturation"
"d.wo.-","intellectual constraint"
"a.u.-","keep one’s word"
"s.-O:.O:.-B:.O:.-’","judgement"
"d.i.-b.i.-t.u.-’","digital"
"n.u.-m.u.-’","imitation"
"E:S:M:.","time distribution"
"c.d.-","hypocrisy | deception"
"s.a.-n.a.-f.o.-’","precursor"
"d.u.-s.u.-’","map"
"o.f.-","inflict suffering"
"E:","emptiness | silence | illusion | fiction"
"k.u.-s.u.-d.u.-’","symmetrical"
"m.i.-k.i.-’","piece of a game"
"d.-B:.A:.-’","smooth"
"k.u.-l.u.-d.u.-’","tomb | mausoleum"
"T:M:.","becoming of the thing"
"b.e.-k.u.-’","intellectual appropriation"
"f.a.-f.a.-f.o.-’","farmer"
"g.O:M:.-","actualizing expressive process (actual)"
"M:O:.l.-","obstacle in space"
"S:O:.","sign in mutation"
"d.i.-m.i.-’","award | medal"
"F:","fullness | non-fiction"
"O:O:.O:M:.-","work"
"m.a.-b.a.-f.o.-’","player"
"g.we.-","context variation"
"m.j.-","expression | poetic awakening of emotion"
"k.i.-l.i.-t.u.-’","built"
"O:M:.i.-","perform in concrete things"
"wo.wo.-","be initiated"
"f.e.-k.i.-wa.e.-’","team sports"
"E:O:.T:O:.-","manner of existence"
"p.M:M:.-","economic obstacle"
"m.i.-d.i.-’","target"
"l.a.-s.a.-’","management"
"E:S:.wa.-","us"
"E:B:.u.-","express (now)"
"y.c.-","examine one’s obstacles"
"l.a.-l.a.-’","war"
"t.u.-d.u.-d.u.-’","indexed"
"f.i.-b.i.-’","drug | medecine"
"d.i.-f.i.-’","sensory organ"
"n.u.-f.u.-’","color"
"l.e.-k.i.-wa.e.-’","elaborating commercial strategies"
"E:S:.k.-","channel"
"M:M:.c.-","political creation-innovation cycle"
"x.e.-","exercise of power"
"t.i.-k.i.-’","capital"
"E:O:.M:O:.-","how (manner)"
"j.O:M:.-","actualizing linguistic process (virtual)"
"f.u.-t.u.-d.u.-’","musical score"
"wo.T:.-","control orientation / position in space"
"p.d.-","lack of economic information and training"
"t.e.-t.u.-wa.e.-’","software design"
"E:F:.a.-","promissive mood"
"n.e.-k.a.-’","transparency of actions"
"n.-B:.U:.-’","wood"
"M:O:.wo.-","mutation of the universe of possibilities"
"t.i.-d.i.-t.u.-’","measured time"
"b.a.-m.a.-f.o.-’","lover"
"u.k.-","use jargon"
"T:M:.O:M:.-","basis of thing for human development"
"k.o.-b.o.-’","conversation"
"n.we.-","cultural roots"
"we.k.-","set up social bonds"
"E:A:.s.-","ahead | towards the front"
"k.-M:.O:.-’","sensible polarity"
"n.o.-l.o.-’","cosmos"
"m.o.-n.o.-’","wisdom"
"s.u.-l.u.-’","shadow"
"j.g.-","new question"
"n.u.-t.u.-’","logo"
"n.-S:.A:.-’","fire"
"I:","information in general"
"o.y.-we.h.-’","orient research"
"t.i.-","container"
"d.u.-l.u.-’","clue"
"n.e.-f.a.-wa.e.-’","healing"
"p.wa.-","change of goal"
"k.e.-","self-control (grammar)"
"m.e.-t.a.-wa.e.-’","fidelity"
"wo.O:O:.-","going through the symbolic cycle"
"s.e.-n.u.-’","semantic distinction"
"m.e.-f.a.-’","well-being"
"t.a.-d.a.-f.o.-’","investor"
"n.i.-n.i.-t.u.-’","energy source"
"E:A:O:.","constructive mode"
"m.o.-l.o.-s.u.-’","offered"
"g.m.-","malicious gossip | contempt"
"E:S:.t.-","departure (point)"
"wo.M:O:.-","monitor alternative frameworks"
"E:M:.n.-","relative space intermediary"
"O:O:.n.-","provide resources for action by tuning to the cosmos"
"E:A:.b.-","in front of"
"E:O:.n.-","middle (relative to whole) | center (relative to whole) | during (spatialized time)"
"wa.o.-","stick to principles"
"wu.M:O:.-","assess frameworks"
"h.k.-","betrayal of the spirit / the tradition"
"d.a.-l.a.-’","intelligence"
"we.M:O:.-","unify frameworks"
"d.e.-l.i.-’","public building | public works"
"E:U:.l.-","at the bottom | at the foot"
"o.U:.-","receive"
"t.e.-n.u.-’","literary text"
"i.i.-","manufacture"
"s.u.-f.u.-d.u.-’","perceived"
"O:B:.","act according to being"
"t.u.-s.u.-d.u.-’","printed | engraved"
"o.s.-","have prejudices"
"b.e.-m.u.-wa.e.-’","performing arts culture"
"d.a.-n.a.-’","testimony"
"n.u.-f.u.-d.u.-’","visual"
"d.o.-b.o.-’","description"
"a.o.-we.h.-’","delegate governance"
"wu.U:.-","hear | recognize auditive forms"
"k.i.-f.i.-’","mouth | digestive system"
"wu.i.-","test equipment"
"E:B:M:.","frequency distribution"
"n.u.-","name"
"wo.h.-","question the meaning of the activity"
"o.O:O:.-","use law"
"m.e.-m.a.-wa.e.-’","solicitude"
"m.-B:.U:.-’","desire"
"E:T:.a.-","has committed"
"f.o.-","living body | sentient being"
"l.a.-d.a.-f.o.-’","entrepreneur"
"E:A:.M:M:.-","horizontal axis"
"j.x.-","formalism evolution"
"c.u.-","establishment of relations between interlocutors"
"t.e.-m.u.-wa.e.-’","staging | artistic direction"
"b.j.-","semiotic innovation"
"s.u.-s.u.-’","idea"
"O:S:.","act according to sign"
"m.o.-l.o.-’","generosity"
"b.e.-t.u.-’","logical consistency"
"l.i.-d.i.-’","compass"
"k.i.-t.i.-t.u.-’","stored"
"l.o.-n.o.-’","architecture"
"i.S:.-","lift"
"u.M:O:.-","communicate one’s production"
"a.l.-","transgress"
"d.i.-t.i.-’","meter | gauge"
"d.o.-f.o.-s.u.-’","empirical"
"l.y.-","awareness of limits"
"n.o.-s.o.-’","culture"
"E:F:.wo.-","singular number"
"f.e.-d.i.-wa.e.-’","shooting sports (aiming)"
"b.e.-f.u.-wa.e.-’","musical culture"
"i.wa.-","equip a company / an economic activity"
"E:T:.n.-","inter | between"
"u.wa.-","exhibit products of economic activity"
"E:B:.h.-","operation"
"y.p.-","examine possible subjects"
"a.y.-","to teach"
"E:M:.O:M:.-","tense | time | when"
"m.e.-m.a.-’","reciprocity"
"M:M:.a.-M:M:.a.-f.o.-’","social actors"
"f.a.-n.a.-f.o.-’","social worker"
"M:","representation | nounishness | ternarity"
"k.M:O:.-","social dimension of a creation-innovation cycle"
"l.e.-d.i.-wa.e.-’","metrology"
"o.b.-","misunderstand"
"c.h.-","change of staff"
"f.i.-f.i.-t.u.-’","organic"
"m.o.-s.o.-’","interest"
"M:M:.u.-M:M:.u.-d.u.-’","semiotic qualities"
"s.-A:.U:.-S:.U:.-’","enunciation: illocutory force"
"wo.u.-","follow communication threads"
"l.i.-m.i.-’","furniture"
"we.x.-","harmonize the technical system"
"E:O:.S:M:.-","face | top | before"
"i.i.-we.h.-’","guarantee compatibility"
"O:M:.wu.-","gain in citizen empowerment"
"O:M:.u.-we.h.-’","improve collective intelligence by augmenting communication"
"O:M:.a.-we.h.-’","improve collective intelligence by augmenting the social bond"
"k.u.-t.u.-d.u.-’","premonitory"
"b.u.-m.u.-d.u.-’","song"
"M:O:.h.-","transformation in will"
"i.o.-we.h.-’","create opportunities"
"l.h.-","migration | cultural mixing"
"s.-M:.O:.-’","natural polarity"
"l.o.-n.o.-s.u.-’","spatial"
"g.wa.-","feedback"
"M:M:.x.-","technical creation-innovation cycle"
"b.i.-l.i.-t.u.-’","linked"
"u.x.-","explain one’s work"
"e.d.-","be technically incompetent"
"m.o.-m.o.-s.u.-’","in love"
"O:O:.we.-","wane"
"M:M:.g.-","communication creation-innovation cycle"
"u.O:O:.-","exhibit"
"M:O:.M:O:.-","transformation"
"O:M:.m.-","despise emotions"
"E:U:.y.-","known"
"d.e.-s.i.-’","practical solution"
"E:T:.wu.-","he | him | them (masculine)"
"O:","process | verbishness | bi-polarity"
"E:S:.we.-","I (feminine) | me (feminine) | us (feminine)"
"E:S:.g.-","element"
"s.u.-t.u.-d.u.-’","schematised"
"d.-T:.U:.-’","crisp"
"n.o.-k.o.-s.u.-’","religious"
"E:B:.y.-","know (now)"
"b.u.-l.u.-d.u.-’","cited"
"M:O:.y.-","condition of knowledge"
"x.a.-","coexistence | doing things with others"
"a.u.-we.h.-’","open public space"
"t.e.-f.u.-wa.e.-’","composing music"
"E:A:.o.-","willing"
"e.O:O:.-","control"
"b.i.-m.i.-t.u.-’","bright"
"E:T:O:.","conclusion (then | therefore)"
"u.g.-","deliver a speech"
"l.i.-f.i.-’","muscle | os"
"d.e.-m.i.-wa.e.-’","esthetics | fashion"
"b.wa.-","negotiation | coordination"
"we.g.-","orchestrate the communication"
"s.i.-t.i.-t.u.-’","filtered"
"n.a.-n.a.-f.o.-’","spiritual guide"
"s.-U:.A:.-B:.U:.-’","affect: quality"
"E:U:M:.","quality variation"
"f.u.-f.u.-d.u.-’","illusory"
"s.a.-f.a.-f.o.-’","psychologist"
"n.wa.-","practical wisdom | prudence"
"d.a.-s.a.-’","studies"
"t.u.-","mark"
"s.-A:.A:.-T:.U:.-’","percept: modality"
"wu.n.-","cultivate clarity of meaning"
"s.e.-b.u.-’","cultural openness"
"f.o.-n.o.-’","dance"
"b.i.-l.i.-’","channel | way"
"M:B:.","becoming in the being"
"m.a.-s.a.-’","mediation"
"l.u.-k.u.-d.u.-’","miraculous"
"E:F:.i.-","imperative mood"
"g.a.-","participation to the community’s conversation"
"E:S:.p.-","whole"
"m.o.-s.o.-s.u.-’","interesting"
"e.wu.-","keep watch | organize transparency"
"E:A:.n.-","during"
"E:O:.b.-","top (relative to a part) | front (relative to a part)"
"b.a.-d.a.-’","advertizement"
"k.o.-d.o.-’","honesty"
"t.a.-k.a.-f.o.-’","public servant"
"O:O:.j.-","govern symbolic systems"
"d.o.-n.o.-s.u.-’","known"
"u.b.-","soliloquize"
"m.i.-t.i.-’","security device"
"l.u.-l.u.-’","matter"
"n.a.-f.a.-’","illness"
"l.i.-b.i.-t.u.-’","simulated"
"wa.k.-","act for the sake of society | community"
"d.x.-","rigorous technical procedures | rigorous technical processes"
"l.e.-s.i.-’","compatibility"
"E:U:.h.-","avoiding | turning one’s back on"
"k.a.-l.a.-’","(trade) union"
"E:S:.M:M:.-","orientation in graphs"
"E:T:.m.-","through"
"m.i.-b.i.-t.u.-’","perfumed"
"M:S:.","becoming in the sign"
"O:O:.M:M:.-","provide resources for action"
"E:B:.we.-","you (female)"
"S:","sign"
"l.i.-k.i.-’","terrain | field"
"j.l.-","absence of response / of echo"
"d.g.-","quality of documents | quality of messages"
"n.o.-s.o.-s.u.-’","cultivated"
"s.e.-t.u.-wa.e.-’","counting | calculating"
"b.a.-n.a.-f.o.-’","prosecutor"
"d.o.-l.o.-s.u.-’","ordered"
"c.i.-","fit behavior"
"l.wu.-","freedom of expression"
"E:F:.U:M:.-","declarative mood"
"E:O:.s.-","top (direction) | front (direction)"
"E:O:M:.","quantity / quality variation (adverb)"
"s.e.-f.u.-wa.e.-’","playing music | singing"
"k.j.-","re-created language community"
"d.o.-n.o.-’","science"
"s.-A:.O:.-M:.O:.-’","noetic immanence"
"M:M:.O:M:.-","basis of human development"
"k.a.-f.a.-f.o.-’","provider"
"T:","thing"
"k.u.-k.u.-d.u.-’","sacred"
"f.c.-","election | appointment | personal victory"
"k.a.-s.a.-’","diplomacy"
"O:O:.","generate"
"E:F:A:.","logical necessity (must)"
"n.a.-m.a.-’","man"
"m.u.-f.u.-’","smile"
"M:M:.y.-","intelligence"
"m.a.-l.a.-’","manufacturing"
"i.n.-","provoke an accident"
"s.a.-m.a.-f.o.-’","spouse"
"h.p.-","modification of specifications"
"l.i.-d.i.-t.u.-’","oriented"
"e.e.-","exercise a competence"
"t.-S:.A:.-’","summer"
"U:","virtual"
"wa.M:M:.-","cultivate strength of action"
"E:B:.l.-","at the place | here"
"f.i.-n.i.-t.u.-’","armed"
"b.a.-t.a.-f.o.-’","accountant"
"n.p.-","market evolution"
"wo.i.-","choose equipment"
"we.F:.-","shut off sensorimotricity"
"l.-M:.O:.-’","spatial direction"
"t.e.-s.u.-’","original design"
"t.O:M:.-","memory actualized"
"m.O:M:.-","affect actualized"
"b.a.-l.a.-f.o.-’","carrier"
"o.n.-","be narrow-minded"
"t.o.-s.o.-’","forecast"
"M:M:.A:M:.-","basis of human development into the actual"
"l.a.-s.a.-f.o.-’","manager"
"k.u.-m.u.-d.u.-’","stigmatized"
"n.e.-t.a.-wa.e.-’","establishing a tradition"
"wa.","move"
"we.t.-","manage one’s timetable"
"f.a.-m.a.-f.o.-’","mother"
"k.a.-d.a.-f.o.-’","vendor"
"b.M:O:.-","communication constraints of a creation-innovation cycle"
"E:E:T:.","accusative | direct object"
"a.m.-","give up"
"m.e.-k.a.-’","collective competence"
"b.e.-m.u.-’","cultural scene"
"k.i.-m.i.-’","playing ground"
"s.i.-l.i.-t.u.-’","articulated"
"M:O:.d.-","obstacle in truth deficiency | obstacle in rigor imperfection"
"x.m.-","labour dispute | conflicts at work"
"m.a.-","parent"
"n.u.-m.u.-d.u.-’","imitated"
"y.k.-","ignore relations"
"E:U:A:.","negation"
"t.-B:.U:.-’","spring (season)"
"a.wu.-","lead a political action"
"S:M:.e.-M:M:.u.-wa.e.-’ +  B:M:.e.-M:M:.a.-wa.e.-’  +  T:M:.e.-M:M:.i.-wa.e.-’","competencies"
"E:U:.u.-","expressed"
"E:S:.c.-","operand"
"t.o.-l.o.-’","harmony"
